PHY_Long_PG.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","3-1","3-2","3-3","3-4","3-5","3-6","3-7","3-8","3-9","3-10","3-11","3-12","3-13","3-14","3-15","3-16","5-1","5-2","5-3","5-4","5-5","5-6","5-7","5-8","5-9","5-10","5-11","5-12","5-13","5-14","5-15","7-1","7-2","7-3","7-4","7-5","7-6","7-7","7-8","7-9","7-10","7-11","7-12","7-13","7-14","9-1","9-2","9-3","9-4","11-1","11-2","11-3","11-4","11-5","11-6","11-7","11-8","11-9","11-10","11-11","11-12","11-13","11-14","11-15","11-16","13-1","13-2","13-3","13-4","13-5","13-6","13-7","13-8","13-9","13-10","13-11","13-12","13-13","13-14","13-15","13-16"
"23","2014/03/03 06:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,29,0,0,26,0,53,49,58,54,60,0,0,0,5,11,11,10,10,9,8,8,8,8,8,11,9,9,9,7,10,7,7,0,2,0,0,-1,0,0,0,0,-1,-1,0,6,-1,0,6,50,74,72,71,52,51,57,75,49,71,21,42,49,40,66,54
"24","2014/03/03 07:00",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,37,0,0,28,0,79,76,78,76,78,0,0,0,0,7,7,7,6,7,7,7,8,8,7,7,7,8,8,6,9,8,7,0,0,0,0,-1,0,0,0,0,-1,-1,0,8,-1,0,6,63,94,93,91,65,66,72,97,68,95,35,61,67,51,88,67
"25","2014/03/03 07:15",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,36,0,0,22,0,80,79,85,78,87,0,0,0,1,9,8,8,9,8,8,6,7,8,6,8,8,8,8,7,8,7,6,1,2,0,0,-1,0,0,0,0,-1,-1,0,8,-1,0,5,69,98,98,98,78,80,80,99,68,98,37,70,71,55,92,74
"26","2014/03/03 07:30",0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,34,0,0,23,0,82,79,81,77,86,0,0,0,3,7,5,5,7,5,7,6,7,7,5,6,5,5,6,5,7,5,5,6,5,0,0,-1,0,0,0,0,-1,-1,0,3,-1,0,4,73,98,98,98,80,79,80,98,69,98,40,73,77,60,90,76
"27","2014/03/03 07:45",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,38,0,0,26,0,80,79,84,79,87,0,0,0,0,6,4,5,6,4,6,4,6,6,6,5,4,5,5,5,7,5,5,11,6,0,0,-1,0,0,0,0,-1,-1,0,38,-1,0,5,67,98,98,98,77,77,75,99,75,98,39,70,71,58,90,73
"28","2014/03/03 08:00",0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,46,0,0,29,0,76,75,75,75,77,0,0,0,0,5,7,6,6,5,4,5,5,6,6,8,8,7,7,5,6,5,5,12,10,0,0,-1,0,0,0,0,-1,-1,0,22,-1,0,4,65,94,95,95,69,66,70,98,67,95,36,68,70,51,89,71
"29","2014/03/03 08:15",0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,30,0,0,23,0,81,77,79,80,79,0,0,0,0,5,6,4,5,4,4,3,4,5,3,5,5,4,4,3,4,3,4,12,12,0,0,-1,0,0,0,0,-1,-1,0,28,-1,0,3,69,96,97,97,72,72,70,98,69,98,39,68,74,54,89,73
"30","2014/03/03 08:30",0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,28,0,0,30,0,64,63,64,63,63,0,0,0,2,4,4,4,5,3,3,4,4,3,4,4,5,4,4,4,3,3,5,15,15,0,0,-1,0,0,0,0,-1,-1,2,2,-1,0,4,49,79,84,83,58,58,57,95,52,82,26,50,51,40,70,56
"31","2014/03/03 08:45",0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,25,0,0,10,0,38,37,39,34,34,0,0,0,6,4,4,4,5,4,4,2,3,3,2,4,4,4,3,3,3,1,3,3,3,0,0,-1,0,0,0,0,-1,-1,1,1,-1,0,3,27,55,54,55,33,33,32,65,30,49,14,26,26,20,43,29
"32","2014/03/03 09:00",0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,28,0,0,26,0,34,33,33,26,31,0,0,0,2,2,3,2,4,3,3,1,3,3,2,3,3,3,3,2,2,1,2,0,0,0,0,-1,0,0,0,0,-1,-1,0,1,-1,0,2,21,43,44,44,27,26,27,50,23,41,12,21,22,16,35,24
