URLDEV_Write_Transfer_16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00","00:16:04","00:16:05","00:16:08","00:16:0F","00:16:10","00:16:11","00:16:12","00:16:13","00:16:14","00:16:15","00:16:16","00:16:24"
"84","2014/04/02 00:23",0,0,0,0,0,0,0,0,0,0,0,177,0
"85","2014/04/02 00:28",0,0,0,0,0,0,0,0,0,0,0,183,0
"86","2014/04/02 00:33",0,0,0,0,0,0,0,0,0,0,0,186,0
"87","2014/04/02 00:38",0,0,0,0,0,0,0,0,0,0,0,78,0
"88","2014/04/02 00:43",0,0,0,0,0,0,0,0,0,0,0,177,0
"89","2014/04/02 00:48",0,0,0,0,0,0,0,0,0,0,0,169,0
"90","2014/04/02 00:53",0,0,0,0,0,0,0,0,0,0,0,90,0
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0,0,0,79,0
"92","2014/04/02 01:03",0,0,0,0,0,0,0,0,0,0,0,162,0
"93","2014/04/02 01:08",0,0,0,0,0,0,0,0,0,0,0,128,0
"94","2014/04/02 01:13",0,0,0,0,0,0,0,0,0,0,0,294,0
"95","2014/04/02 01:18",0,0,0,0,0,0,0,0,0,0,0,368,0
"96","2014/04/02 01:23",0,0,0,0,0,0,0,0,0,0,0,254,0
