LDEV_Response0C.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:00X(X573-1)","00:0C:01X(X574-1)","00:0C:02X(X575-1)","00:0C:03X(X576-1)","00:0C:04X(X577-1)","00:0C:05X(X578-1)","00:0C:06X(X579-1)","00:0C:07X(X580-1)","00:0C:08X(X581-1)","00:0C:09X(X582-1)","00:0C:0AX(X583-1)","00:0C:0BX(X584-1)","00:0C:0CX(X585-1)"
"83","2014/04/02 00:18",6955,15440,11031,13363,12108,9965,11906,16482,9825,9431,13313,11525,9213
"84","2014/04/02 00:23",4631,5888,4905,4167,5472,5874,5311,5742,4895,6143,5941,6501,5607
"85","2014/04/02 00:28",5280,5210,4431,4870,5145,3712,4805,3879,4509,4941,4874,5029,4212
"86","2014/04/02 00:33",6148,6349,5404,5873,5861,6989,6727,5214,5454,5069,5401,5520,5253
"87","2014/04/02 00:38",7741,6179,4903,9360,6863,5972,8201,8064,6340,5721,10272,8008,6013
"88","2014/04/02 00:43",4286,5597,5582,5066,4822,3079,5539,7733,3883,3809,4128,8541,8545
"89","2014/04/02 00:48",4067,5711,2362,2217,3636,3638,3368,6279,3496,3685,4584,5760,3829
"90","2014/04/02 00:53",22870,23912,25153,20895,21460,20258,26194,31773,28590,33144,22635,25734,25547
"91","2014/04/02 00:58",1508,1513,1611,1616,1359,1183,1695,1517,1451,1674,1780,1563,1633
"92","2014/04/02 01:03",1937,2035,1903,1921,1703,1520,1904,1927,1692,2018,2054,1996,1994
"93","2014/04/02 01:08",5145,4631,4019,4246,3975,4568,3965,4195,4823,4561,6453,3910,4352
"94","2014/04/02 01:13",3542,2887,2616,2880,2668,2415,3138,2912,2712,2988,3183,2779,3338
"95","2014/04/02 01:18",3527,2710,2787,2963,2654,2527,2812,3162,2632,2641,3073,2864,2706
"96","2014/04/02 01:23",2022,2263,2326,1789,2090,1662,1797,2053,2350,1947,2667,1978,2564
