LDEV_Response2A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:0B(5-4)","00:2A:0C(5-4)","00:2A:0D(5-15)","00:2A:0E(5-4)","00:2A:0F(5-15)","00:2A:10(5-4)","00:2A:11(5-15)","00:2A:1E(5-1)","00:2A:1F(5-1)","00:2A:20(5-1)","00:2A:21(13-2)","00:2A:80(5-5)","00:2A:81(5-5)","00:2A:82(5-5)","00:2A:83(5-5)","00:2A:84(5-5)","00:2A:85(5-6)","00:2A:86(5-6)","00:2A:87(5-6)","00:2A:B9(13-1)","00:2A:C1X(X620-1)","00:2A:DF(13-2)","00:2A:E0(13-2)","00:2A:E1(13-2)","00:2A:E2(13-2)","00:2A:E3(13-2)","00:2A:E4(13-2)","00:2A:E5(13-2)","00:2A:E8(5-5)","00:2A:ECX(X625-1)"
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1267,-3,-3,-3,-3,-3,-3,-3,-3,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2485,-3,-3,-3,3060,-3,-3,-3,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9649,-3,-3,-3,-3,-3,-3,-3,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6823,-3,-3,-3,-3,-3,-3,-3,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13371,-3,-3,-3,-3,-3,-3,-3,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4887,-3,-3,-3,5816,-3,-3,4248,-3,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1725,-3,-3,-3,5821,-3,-3,4558,-3,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1184,-3,-3,-3,4889,-3,-3,5564,-3,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,979,-3,-3,-3,5146,-3,-3,5381,-3,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,915,-3,-3,-3,4395,-3,-3,5212,-3,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,774,-3,-3,-3,4678,-3,-3,5121,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1615,-3,-3,-3,4195,-3,-3,4707,-3,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1864,-3,-3,-3,5375,-3,-3,3962,-3,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1390,-3,-3,-3,7235,-3,-3,4749,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1167,-3,-3,-3,3526,-3,-3,4801,-3,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2048,-3,-3,-3,3647,-3,-3,4044,-3,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1168,-3,-3,-3,4234,-3,-3,3809,-3,-3
"86","2014/04/02 00:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1277,-3,-3,-3,3691,-3,-3,4947,-3,-3
"87","2014/04/02 00:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1270,-3,-3,-3,3313,-3,-3,4301,-3,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1431,-3,-3,-3,-3,-3,-3,4610,-3,-3
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1144,-3,-3,-3,4877,-3,-3,4579,-3,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1077,-3,-3,-3,4627,-3,-3,4822,-3,-3
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1563,-3,-3,-3,3843,-3,-3,4182,-3,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1833,-3,-3,-3,3561,-3,-3,4761,60336,-3
"93","2014/04/02 01:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1180,-3,-3,-3,-3,-3,-3,5578,16261,-3
"94","2014/04/02 01:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1596,-3,-3,-3,-3,-3,-3,5601,-3,-3
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2352,-3,-3,-3,-3,-3,-3,3565,132041,-3
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,812,-3,-3,-3,-3,-3,-3,-3,294745,-3
