PHY_Long_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"25","2014/03/03 07:15",12,32,7,3,12,31,6,3,12,32,6,3,12,32,6,3,13,32,6,3,13,32,6,3,13,32,7,3,13,32,7,3,13,31,6,3,13,32,6,3,12,32,7,3,12,32,7,3,12,31,7,3,12,31,7,3,12,31,7,3,12,31,7,3
"26","2014/03/03 07:30",12,30,7,3,12,30,7,3,12,30,6,3,12,30,6,3,12,30,6,3,12,30,6,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3,12,30,7,3
"27","2014/03/03 07:45",14,30,5,3,14,30,5,3,14,31,5,3,14,31,5,3,14,30,5,3,14,30,5,3,14,30,5,3,14,30,5,3,14,31,5,3,14,31,5,3,14,31,5,3,14,31,5,3,14,31,5,3,14,31,5,3,14,31,5,3,14,31,5,3
"28","2014/03/03 08:00",12,28,4,2,12,28,4,2,12,28,4,2,13,28,4,2,12,27,4,2,12,27,4,2,12,28,4,2,12,28,4,2,12,28,4,2,12,28,4,2,13,28,4,2,13,28,4,2,13,28,4,2,13,28,4,2,13,28,4,2,13,28,4,2
"29","2014/03/03 08:15",11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2,11,29,4,2
"30","2014/03/03 08:30",14,23,3,2,14,23,3,2,14,23,3,1,14,23,3,1,14,23,3,2,14,23,3,1,14,24,3,1,14,24,3,1,14,24,3,2,14,24,3,2,14,24,3,2,14,24,3,1,14,24,3,1,14,24,3,1,14,24,3,1,14,24,3,1
"31","2014/03/03 08:45",6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,2,0,6,16,2,0,6,16,2,0,6,16,2,0,6,16,3,0,6,16,3,0,6,16,3,0,6,16,3,0
"32","2014/03/03 09:00",6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0,6,14,2,0
"33","2014/03/03 09:15",16,23,10,2,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,2,16,23,10,3,16,23,10,2,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3,16,23,10,3
"34","2014/03/03 09:30",11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1,12,16,5,1,12,16,5,1,12,17,5,1,12,17,5,1,11,16,5,1,11,16,5,1,11,16,5,1,11,16,5,1
