PHY_Short_MPA_CSW.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CHA-1EU.CSW-1DU","CHA-1EU.CSW-2PU","CHA-1FU.CSW-1DU","CHA-1FU.CSW-2PU","CHA-1EL.CSW-1DL","CHA-1EL.CSW-2PL","CHA-2QU.CSW-1DU","CHA-2QU.CSW-2PU","CHA-2RU.CSW-1DU","CHA-2RU.CSW-2PU","CHA-2QL.CSW-1DL","CHA-2QL.CSW-2PL","DKA-1AU.CSW-1DU","DKA-1AU.CSW-2PU","DKA-1BU.CSW-1DU","DKA-1BU.CSW-2PU","DKA-1AL.CSW-1DL","DKA-1AL.CSW-2PL","DKA-1BL.CSW-1DL","DKA-1BL.CSW-2PL","DKA-1LU.CSW-1JU","DKA-1LU.CSW-2VU","DKA-1KU.CSW-1JU","DKA-1KU.CSW-2VU","DKA-1LL.CSW-1JL","DKA-1LL.CSW-2VL","DKA-1KL.CSW-1JL","DKA-1KL.CSW-2VL","DKA-2MU.CSW-1DU","DKA-2MU.CSW-2PU","DKA-2NU.CSW-1DU","DKA-2NU.CSW-2PU","DKA-2ML.CSW-1DL","DKA-2ML.CSW-2PL","DKA-2NL.CSW-1DL","DKA-2NL.CSW-2PL","DKA-2XU.CSW-1JU","DKA-2XU.CSW-2VU","DKA-2WU.CSW-1JU","DKA-2WU.CSW-2VU","DKA-2XL.CSW-1JL","DKA-2XL.CSW-2VL","DKA-2WL.CSW-1JL","DKA-2WL.CSW-2VL"
"30","2014/04/01 19:53",2,2,0,0,5,5,2,2,0,0,4,4,1,1,1,1,6,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,6,6,6,6,4,4,4,4,1,1,1,1
"31","2014/04/01 19:58",2,2,0,0,4,4,2,2,0,0,3,3,1,1,1,1,7,7,6,6,4,4,6,6,1,1,2,2,1,1,1,1,7,7,6,6,5,5,6,6,2,2,2,2
"32","2014/04/01 20:03",2,2,1,1,6,6,2,2,0,0,5,5,2,2,1,1,7,7,8,8,6,6,5,5,2,2,3,3,2,2,1,1,8,8,7,7,6,6,5,5,4,4,3,3
"33","2014/04/01 20:08",1,1,5,5,11,11,1,1,2,2,10,10,2,2,1,1,8,8,7,7,4,4,4,4,3,3,4,4,2,2,2,2,8,8,7,7,5,5,5,5,4,4,3,3
"34","2014/04/01 20:13",1,1,2,2,5,5,2,2,1,1,4,4,2,2,2,2,7,7,6,6,5,5,5,5,3,3,2,2,3,3,4,4,7,7,6,6,5,5,5,5,2,2,3,3
"35","2014/04/01 20:18",2,2,0,0,7,7,1,1,0,0,6,6,2,2,2,2,9,9,9,9,5,5,6,6,3,3,3,3,2,2,2,2,9,9,9,9,5,5,6,6,3,3,3,3
"36","2014/04/01 20:23",1,1,0,0,4,4,1,1,0,0,5,5,2,2,1,1,6,6,6,6,4,4,4,4,1,1,2,2,1,1,1,1,5,5,5,5,4,4,5,5,1,1,2,2
"37","2014/04/01 20:28",2,2,1,1,4,4,1,1,2,2,5,5,1,1,2,2,6,6,6,6,4,4,3,3,1,1,2,2,2,2,1,1,6,6,6,6,3,3,4,4,1,1,2,2
"38","2014/04/01 20:33",2,2,0,0,4,4,2,2,0,0,4,4,2,2,2,2,7,7,7,7,5,5,6,6,4,4,5,5,2,2,2,2,6,6,6,6,6,6,4,4,4,4,5,5
"39","2014/04/01 20:38",2,2,4,4,4,4,2,2,3,3,4,4,1,1,1,1,6,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,6,6,6,6,4,4,4,4,1,1,1,1
"40","2014/04/01 20:43",3,3,1,1,3,3,1,1,3,3,3,3,1,1,1,1,6,6,6,6,5,5,5,5,1,1,1,1,1,1,1,1,6,6,6,6,4,4,3,3,1,1,1,1
"41","2014/04/01 20:48",1,1,2,2,4,4,1,1,1,1,4,4,1,1,1,1,6,6,5,5,3,3,4,4,1,1,1,1,1,1,1,1,6,6,5,5,4,4,4,4,1,1,0,0
"42","2014/04/01 20:53",3,3,0,0,4,4,1,1,0,0,4,4,1,1,1,1,5,5,4,4,3,3,4,4,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,4,1,1,1,1
"43","2014/04/01 20:58",2,2,1,1,4,4,1,1,0,0,4,4,2,1,2,2,8,8,7,7,6,6,6,6,2,2,1,1,2,2,2,2,6,6,6,6,6,6,3,3,1,1,1,1
"44","2014/04/01 21:03",1,1,0,0,5,5,1,1,0,0,5,5,2,2,2,2,8,8,8,8,5,5,4,4,1,1,2,2,1,1,1,1,8,8,7,7,5,5,4,4,2,2,2,2
"45","2014/04/01 21:08",3,3,0,0,4,4,2,2,0,0,4,4,2,2,2,2,7,7,7,7,5,5,7,7,5,5,6,6,2,2,2,2,8,8,7,7,7,7,6,6,6,6,6,6
"46","2014/04/01 21:13",2,2,1,1,5,5,2,2,1,1,5,5,2,2,2,2,8,8,7,7,4,4,4,4,2,2,2,2,2,2,2,2,8,8,8,8,4,4,4,4,2,2,2,2
"47","2014/04/01 21:18",1,1,0,0,5,5,1,1,0,0,5,5,1,1,2,2,7,7,7,7,4,4,4,4,2,2,1,1,1,1,1,1,7,7,7,7,4,4,4,4,1,1,1,1
"48","2014/04/01 21:23",1,1,0,0,6,6,1,1,0,0,5,5,2,2,1,1,9,9,9,9,4,4,4,4,2,2,2,2,2,2,2,2,9,9,9,9,4,4,5,5,3,3,2,2
"49","2014/04/01 21:28",0,0,0,0,5,5,0,0,0,0,5,5,1,1,1,1,8,8,8,8,4,4,3,3,2,2,2,2,1,1,1,1,8,8,8,8,3,3,3,3,1,1,1,1
"50","2014/04/01 21:33",1,1,1,1,4,4,1,1,2,2,5,5,1,1,0,0,6,6,6,6,4,4,5,5,1,1,1,1,1,1,1,1,7,7,6,6,4,4,5,5,1,1,1,1
"51","2014/04/01 21:38",1,1,3,3,6,6,1,1,4,4,6,6,1,1,1,1,6,6,8,8,6,6,6,6,2,2,2,2,1,1,1,1,6,6,6,6,6,6,4,4,1,1,2,2
"52","2014/04/01 21:43",2,2,1,1,5,5,2,2,2,2,5,5,1,1,1,1,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,8,8,7,7,8,8,8,8,1,1,1,1
"53","2014/04/01 21:48",3,3,5,5,4,4,3,3,5,5,4,4,0,0,1,1,6,6,6,6,3,3,4,4,1,1,1,1,1,1,1,1,6,6,6,6,4,4,3,3,0,0,0,0
"54","2014/04/01 21:53",1,1,2,2,5,5,1,1,2,3,4,4,0,0,0,0,6,6,6,6,3,3,3,3,0,0,1,1,0,0,0,0,6,6,6,6,2,2,2,2,0,0,0,0
"55","2014/04/01 21:58",1,1,1,1,7,7,1,1,0,0,8,8,1,1,0,0,7,7,6,6,3,3,3,3,1,1,1,1,0,0,0,0,6,6,6,6,3,2,3,3,1,1,1,1
"56","2014/04/01 22:03",5,5,1,1,8,8,1,1,1,1,9,9,0,0,0,0,10,10,8,8,2,2,4,4,2,2,1,1,0,0,1,1,8,8,9,9,4,4,4,4,1,1,1,1
"57","2014/04/01 22:08",10,10,1,1,9,9,13,13,2,2,9,9,2,2,3,3,17,17,16,16,5,5,7,7,3,3,3,3,2,2,3,3,16,16,17,17,6,6,5,5,4,4,3,3
"58","2014/04/01 22:13",1,1,1,1,12,12,1,1,1,1,13,13,1,1,1,1,10,10,10,10,3,3,3,3,1,1,1,1,1,1,1,1,10,10,10,10,3,3,3,3,1,1,1,1
"59","2014/04/01 22:18",2,2,1,1,8,8,2,2,0,0,8,8,1,1,1,1,8,8,8,8,3,3,4,4,3,3,3,3,1,1,1,1,7,7,8,8,4,4,5,5,3,3,3,3
"60","2014/04/01 22:23",0,0,1,1,9,9,1,1,0,0,8,8,1,1,1,1,9,9,9,9,3,3,2,2,1,1,1,1,1,1,1,1,8,8,8,8,2,2,3,3,1,1,1,1
"61","2014/04/01 22:28",0,0,0,0,14,14,0,0,0,0,15,15,1,1,0,0,11,11,10,10,3,3,2,2,1,1,1,1,1,1,1,1,11,11,11,11,2,2,3,3,0,0,1,1
"62","2014/04/01 22:33",1,1,0,0,14,14,1,1,0,0,15,15,2,2,2,2,14,14,14,14,5,5,5,5,2,2,2,2,1,1,1,1,14,14,14,14,5,5,4,4,2,2,2,2
"63","2014/04/01 22:38",1,1,0,0,13,13,1,1,1,1,11,11,1,1,2,2,15,15,11,11,6,6,4,4,3,3,2,2,2,2,2,2,13,13,13,13,5,5,7,7,3,3,3,3
"64","2014/04/01 22:43",3,3,1,1,13,13,4,4,1,1,10,10,1,1,1,1,11,11,10,10,5,5,5,5,1,1,1,1,1,1,1,1,10,10,10,10,5,5,5,5,0,0,1,1
"65","2014/04/01 22:48",3,3,1,1,12,12,2,2,1,1,10,10,2,2,2,2,12,12,13,13,6,6,6,6,2,2,2,2,2,2,2,2,14,14,12,12,5,5,5,5,2,2,2,2
"66","2014/04/01 22:53",2,2,4,4,11,11,3,3,3,2,9,9,2,2,2,2,17,17,16,16,7,7,6,6,2,2,2,2,3,3,3,3,18,18,17,17,7,7,7,7,2,2,2,2
"67","2014/04/01 22:58",3,3,1,1,13,13,4,4,1,1,13,14,2,2,2,2,14,14,15,15,6,6,7,7,2,2,2,2,2,2,3,3,14,15,15,15,8,8,7,7,2,2,2,2
"68","2014/04/01 23:03",11,11,3,3,21,21,10,10,3,3,15,15,3,3,3,3,21,21,21,21,9,9,11,11,3,3,3,3,3,3,2,2,22,22,20,20,11,11,11,11,3,3,3,3
"69","2014/04/01 23:08",9,9,5,5,24,24,10,10,5,5,18,18,3,4,3,3,20,20,20,20,11,11,11,11,3,3,4,4,4,4,4,4,20,20,19,19,12,11,11,11,4,4,4,4
"70","2014/04/01 23:13",9,9,4,4,15,15,8,8,5,5,15,15,3,3,4,4,19,19,20,20,8,8,8,8,5,5,6,6,3,3,4,4,20,20,20,20,8,8,8,8,6,6,6,6
"71","2014/04/01 23:18",9,9,11,11,20,20,10,10,11,11,19,19,6,6,6,6,21,21,21,21,13,13,12,12,6,6,6,6,5,5,5,5,21,21,22,22,11,11,12,12,6,6,7,7
"72","2014/04/01 23:23",12,12,2,2,21,21,13,13,3,3,17,17,3,3,3,3,18,18,18,18,11,11,9,9,4,4,4,4,3,3,3,3,18,18,18,18,9,9,11,11,3,3,4,4
"73","2014/04/01 23:28",12,12,3,3,17,17,11,11,4,4,15,15,4,4,4,4,16,16,15,15,11,11,11,11,4,4,5,5,3,3,3,3,16,16,16,16,12,12,12,12,4,4,5,5
"74","2014/04/01 23:33",13,13,3,3,24,24,14,14,3,3,26,26,3,3,3,3,21,21,22,22,11,11,10,10,6,6,5,5,3,3,4,4,22,22,22,22,10,10,10,10,5,5,5,5
"75","2014/04/01 23:38",14,14,4,4,20,20,15,15,3,3,21,21,4,4,4,4,21,21,21,21,10,10,11,11,6,6,6,6,3,3,3,3,20,20,20,20,10,10,12,12,6,6,6,6
"76","2014/04/01 23:43",13,13,4,4,17,17,14,14,5,5,18,18,5,5,4,4,19,19,20,20,13,13,11,11,7,7,7,7,4,4,4,4,21,21,19,19,12,12,12,12,6,6,7,7
"77","2014/04/01 23:48",8,8,5,5,17,17,8,8,6,6,15,15,3,3,3,3,17,17,17,17,12,12,10,10,4,4,3,3,3,3,3,3,18,18,18,18,10,10,10,10,4,4,5,5
"78","2014/04/01 23:53",16,16,3,3,14,14,13,13,3,3,14,14,4,4,4,4,17,17,16,16,8,8,11,11,4,4,4,4,4,4,4,4,17,17,18,18,10,10,11,11,3,3,3,3
"79","2014/04/01 23:58",14,14,2,2,12,12,13,13,2,2,12,12,2,2,2,2,16,16,16,16,9,9,9,9,2,2,2,2,2,2,2,2,16,16,15,15,10,10,9,9,2,2,2,2
"80","2014/04/02 00:03",12,12,3,3,11,11,10,10,2,2,11,11,3,3,3,3,14,14,13,13,10,10,9,9,3,3,3,3,3,3,3,3,14,14,13,13,10,10,10,10,3,3,4,4
"81","2014/04/02 00:08",12,12,3,3,16,16,10,10,2,2,19,19,4,4,4,4,16,16,15,15,11,11,11,11,3,3,4,4,3,3,3,3,18,18,17,17,11,11,11,11,4,4,4,4
"82","2014/04/02 00:13",11,11,2,2,13,13,9,9,2,2,14,14,3,3,3,3,14,14,15,15,10,10,9,9,4,4,4,4,3,3,3,3,15,15,15,15,9,9,10,10,4,4,4,4
"83","2014/04/02 00:18",9,9,2,2,13,13,8,8,2,2,11,11,3,3,3,3,12,12,13,13,8,8,9,9,3,3,4,4,3,3,3,3,14,14,12,12,9,9,10,10,3,3,3,3
"84","2014/04/02 00:23",13,13,2,2,12,12,15,15,2,2,13,13,8,8,7,7,13,13,14,14,12,12,11,11,4,4,5,5,10,10,8,8,14,14,13,13,12,12,11,11,5,5,5,5
"85","2014/04/02 00:28",10,10,3,3,17,17,8,8,2,2,16,16,2,2,2,2,14,14,12,12,9,9,10,10,3,3,3,3,3,3,4,4,13,13,12,12,11,11,10,10,3,3,3,3
"86","2014/04/02 00:33",9,9,4,4,14,14,7,7,2,2,13,13,3,3,3,3,18,18,18,18,13,13,13,13,3,3,4,4,3,3,4,4,19,19,17,17,13,13,12,12,3,3,3,3
"87","2014/04/02 00:38",10,10,2,2,14,14,9,9,2,2,14,14,3,3,3,3,13,13,12,12,7,7,6,6,4,4,4,4,3,3,3,3,12,12,13,13,5,5,6,6,5,5,4,4
"88","2014/04/02 00:43",9,9,2,2,12,12,10,10,2,2,12,12,2,2,2,2,8,8,9,9,8,8,8,8,2,2,2,2,2,2,2,2,10,10,8,8,7,7,8,8,2,2,2,2
"89","2014/04/02 00:48",8,8,4,4,11,11,9,9,3,3,11,11,2,2,2,2,10,10,10,10,11,11,12,12,2,2,2,2,2,2,2,2,12,12,9,9,11,11,8,8,1,1,2,2
"90","2014/04/02 00:53",9,9,4,4,14,14,9,9,2,2,14,14,2,2,2,2,10,10,9,9,10,10,9,9,3,3,2,2,2,2,2,2,10,10,11,11,9,9,11,11,2,2,3,3
"91","2014/04/02 00:58",8,8,1,1,11,11,7,7,1,1,9,9,1,1,1,1,9,9,7,7,9,9,9,9,3,3,3,3,2,2,2,2,8,8,8,8,10,10,10,10,3,3,3,3
"92","2014/04/02 01:03",12,12,2,2,11,11,16,16,2,2,12,12,4,4,4,4,19,19,18,18,10,10,12,12,3,3,3,3,4,4,4,4,16,16,20,20,11,11,9,9,3,3,3,3
"93","2014/04/02 01:08",16,16,2,2,10,10,17,17,2,2,9,9,6,6,5,5,15,15,14,14,9,9,10,10,3,3,2,2,6,6,6,6,15,15,15,15,9,9,9,9,2,2,2,2
"94","2014/04/02 01:13",14,14,3,3,12,12,19,18,2,2,14,14,2,2,2,2,16,16,15,15,9,9,8,8,2,2,3,3,2,2,2,2,15,15,14,14,8,8,8,8,2,2,2,2
"95","2014/04/02 01:18",14,14,3,3,11,11,12,12,2,2,12,12,2,2,2,2,26,26,26,26,9,9,10,10,3,3,2,2,2,2,2,2,26,26,27,27,11,11,10,10,2,2,2,2
"96","2014/04/02 01:23",15,15,2,2,14,14,16,16,1,1,17,17,3,3,4,4,24,24,25,25,7,7,8,8,3,3,3,3,2,2,2,2,22,22,23,23,9,9,9,9,3,3,3,3
