PHY_Short_CSW_CMA.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CSW-1DU.CACHE-1CA","CSW-1DL.CACHE-1CA","CSW-1JU.CACHE-1CA","CSW-1JL.CACHE-1CA","CSW-2PU.CACHE-1CA","CSW-2PL.CACHE-1CA","CSW-2VU.CACHE-1CA","CSW-2VL.CACHE-1CA","CSW-1DU.CACHE-1CB","CSW-1DL.CACHE-1CB","CSW-1JU.CACHE-1CB","CSW-1JL.CACHE-1CB","CSW-2PU.CACHE-1CB","CSW-2PL.CACHE-1CB","CSW-2VU.CACHE-1CB","CSW-2VL.CACHE-1CB","CSW-1DU.CACHE-1CE","CSW-1DL.CACHE-1CE","CSW-1JU.CACHE-1CE","CSW-1JL.CACHE-1CE","CSW-2PU.CACHE-1CE","CSW-2PL.CACHE-1CE","CSW-2VU.CACHE-1CE","CSW-2VL.CACHE-1CE","CSW-1DU.CACHE-1CF","CSW-1DL.CACHE-1CF","CSW-1JU.CACHE-1CF","CSW-1JL.CACHE-1CF","CSW-2PU.CACHE-1CF","CSW-2PL.CACHE-1CF","CSW-2VU.CACHE-1CF","CSW-2VL.CACHE-1CF","CSW-1DU.CACHE-2CC","CSW-1DL.CACHE-2CC","CSW-1JU.CACHE-2CC","CSW-1JL.CACHE-2CC","CSW-2PU.CACHE-2CC","CSW-2PL.CACHE-2CC","CSW-2VU.CACHE-2CC","CSW-2VL.CACHE-2CC","CSW-1DU.CACHE-2CD","CSW-1DL.CACHE-2CD","CSW-1JU.CACHE-2CD","CSW-1JL.CACHE-2CD","CSW-2PU.CACHE-2CD","CSW-2PL.CACHE-2CD","CSW-2VU.CACHE-2CD","CSW-2VL.CACHE-2CD","CSW-1DU.CACHE-2CG","CSW-1DL.CACHE-2CG","CSW-1JU.CACHE-2CG","CSW-1JL.CACHE-2CG","CSW-2PU.CACHE-2CG","CSW-2PL.CACHE-2CG","CSW-2VU.CACHE-2CG","CSW-2VL.CACHE-2CG","CSW-1DU.CACHE-2CH","CSW-1DL.CACHE-2CH","CSW-1JU.CACHE-2CH","CSW-1JL.CACHE-2CH","CSW-2PU.CACHE-2CH","CSW-2PL.CACHE-2CH","CSW-2VU.CACHE-2CH","CSW-2VL.CACHE-2CH"
"24","2014/04/01 19:23",6,9,6,2,6,9,6,2,6,9,6,2,6,9,6,2,6,9,6,2,6,9,6,2,6,9,6,2,6,9,6,2,6,9,7,2,6,9,7,2,6,9,7,2,6,9,7,2,6,9,7,2,6,9,7,2,6,9,7,2,6,9,7,2
"25","2014/04/01 19:28",3,13,5,1,3,13,5,1,3,13,4,1,3,13,4,1,3,12,4,1,3,12,4,1,3,13,4,1,3,13,4,1,3,13,5,1,3,13,5,1,3,13,5,1,3,13,5,1,3,13,5,1,3,13,5,1,3,13,5,1,3,13,5,1
"26","2014/04/01 19:33",3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1,3,5,4,1
"27","2014/04/01 19:38",3,5,3,1,4,5,3,1,4,5,3,1,4,5,3,1,4,5,3,1,4,5,3,1,4,5,3,1,3,5,3,1,3,5,2,1,3,5,2,1,3,5,3,1,3,5,3,1,3,5,3,1,3,5,3,1,3,5,3,1,3,5,3,1
"28","2014/04/01 19:43",5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4,5,27,7,4
"29","2014/04/01 19:48",3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2,3,11,4,2
"30","2014/04/01 19:53",1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,1,1,5,2,1,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0
"31","2014/04/01 19:58",2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,4,3,1,2,4,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1,2,5,3,1
"32","2014/04/01 20:03",2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2,2,6,3,2
"33","2014/04/01 20:08",3,6,3,2,3,6,3,2,3,7,2,2,3,7,2,2,3,7,3,2,3,7,3,2,3,7,3,2,3,7,3,2,3,6,3,2,3,6,3,2,3,7,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2,3,6,3,2
"34","2014/04/01 20:13",2,5,3,2,2,5,3,2,2,5,3,1,2,5,3,2,2,5,3,1,2,5,3,1,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2
"35","2014/04/01 20:18",2,7,3,2,2,7,3,2,2,7,3,2,2,7,3,2,2,7,3,2,2,6,3,2,3,7,3,2,3,7,3,2,2,6,3,2,2,7,3,2,2,7,3,2,2,7,3,2,2,6,3,2,2,6,3,2,2,7,3,2,2,7,3,2
"36","2014/04/01 20:23",2,4,2,1,2,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,4,2,1,1,5,2,1,1,5,2,1,1,4,2,1,1,4,2,1
"37","2014/04/01 20:28",2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,5,2,1,2,5,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,5,2,1
"38","2014/04/01 20:33",2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2,2,5,3,2
"39","2014/04/01 20:38",2,4,2,1,2,4,2,1,2,4,2,0,2,4,2,0,2,4,2,1,2,4,2,1,2,4,2,0,2,4,2,0,3,4,2,0,3,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,0,3,4,2,0
"40","2014/04/01 20:43",2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,1,2,4,2,0,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1,2,4,2,1
"41","2014/04/01 20:48",1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0
"42","2014/04/01 20:53",2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0
"43","2014/04/01 20:58",2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0,2,6,2,0
"44","2014/04/01 21:03",1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1
"45","2014/04/01 21:08",3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3,3,5,4,3
"46","2014/04/01 21:13",2,5,2,1,2,5,2,1,2,6,2,1,2,6,2,1,2,5,2,1,2,5,2,1,2,6,2,1,2,6,2,1,2,5,2,1,2,5,2,1,2,6,2,1,2,6,2,1,2,6,3,1,2,6,3,1,2,5,2,1,2,5,2,1
"47","2014/04/01 21:18",1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1,1,5,2,1
"48","2014/04/01 21:23",1,6,3,1,1,6,3,1,1,6,2,1,1,6,2,1,1,6,3,1,1,6,3,1,2,6,3,1,2,6,3,1,2,6,3,1,2,6,3,1,1,6,3,1,1,6,3,1,1,6,3,1,1,6,3,1,2,6,3,1,2,6,3,1
"49","2014/04/01 21:28",1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1,1,6,2,1
"50","2014/04/01 21:33",1,4,3,0,1,4,3,0,1,4,2,0,1,4,2,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,2,0,1,4,3,0,1,4,3,0
"51","2014/04/01 21:38",2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1,2,5,2,1
"52","2014/04/01 21:43",2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1,2,5,4,1
"53","2014/04/01 21:48",2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0,2,4,2,0
"54","2014/04/01 21:53",1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,2,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,4,2,0,1,4,2,0,1,4,1,0,1,4,1,0
"55","2014/04/01 21:58",1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0,1,5,2,0
"56","2014/04/01 22:03",1,6,3,0,1,6,3,0,1,6,3,0,1,7,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0
"57","2014/04/01 22:08",5,10,4,2,5,10,4,2,5,10,4,2,5,10,4,2,5,10,4,2,5,10,4,2,5,10,4,2,5,10,4,2,5,11,4,2,5,11,4,2,5,11,4,2,5,11,4,2,5,10,4,2,5,10,4,2,5,11,4,2,5,11,4,2
"58","2014/04/01 22:13",1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0,1,8,2,0
"59","2014/04/01 22:18",1,6,2,2,1,6,2,2,1,6,2,2,1,6,2,2,2,6,3,2,2,6,3,2,1,6,3,2,1,6,3,2,2,6,2,2,2,6,2,2,2,6,2,2,2,6,2,2,2,6,3,2,2,6,3,2,1,6,2,2,1,6,2,2
"60","2014/04/01 22:23",1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0
"61","2014/04/01 22:28",1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0,1,9,1,0
"62","2014/04/01 22:33",1,11,3,1,1,11,3,1,1,11,3,1,1,11,3,1,1,11,3,1,1,11,3,1,1,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1,2,11,3,1
"63","2014/04/01 22:38",2,8,2,1,2,8,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,1,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1,2,7,2,1
"64","2014/04/01 22:43",2,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0,2,7,3,0,2,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0,3,8,3,0,2,8,3,0,2,8,3,0,2,8,3,0
"65","2014/04/01 22:48",2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,2,9,3,1,3,9,3,1,3,9,3,1
"66","2014/04/01 22:53",4,11,4,1,4,11,4,1,4,10,4,1,4,10,4,1,4,10,4,1,4,10,4,1,4,10,4,1,4,10,4,1,3,10,4,1,3,10,4,1,4,10,4,1,4,10,4,1,3,10,4,1,3,10,4,1,4,10,4,1,4,10,4,1
"67","2014/04/01 22:58",3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1,3,11,4,1
"68","2014/04/01 23:03",6,15,5,1,6,15,5,1,6,15,5,1,6,15,5,1,6,15,5,1,6,15,5,1,6,15,6,1,6,15,6,1,6,15,6,1,6,15,6,1,6,15,5,1,6,15,5,1,6,15,6,1,6,15,6,1,6,15,6,1,6,15,6,1
"69","2014/04/01 23:08",6,16,6,2,6,16,6,2,6,16,6,2,6,16,6,2,6,15,6,2,6,15,6,2,6,16,6,2,6,16,6,2,6,15,6,2,6,15,6,2,6,16,6,2,6,16,6,2,6,15,6,2,6,15,6,2,6,15,6,2,6,15,6,2
"70","2014/04/01 23:13",6,14,4,3,6,14,4,3,6,13,4,3,6,13,4,3,6,14,4,3,6,14,4,3,6,14,4,3,6,14,4,3,6,14,4,3,6,14,4,3,6,14,5,3,6,14,5,3,6,14,5,3,6,14,5,3,6,14,5,3,6,14,5,3
"71","2014/04/01 23:18",8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,7,3,8,15,6,3,8,15,6,3,8,15,6,3,8,15,6,3
"72","2014/04/01 23:23",6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,6,2,6,14,5,2,6,14,5,2,6,14,5,2,6,14,5,2
"73","2014/04/01 23:28",6,12,6,2,6,12,6,2,6,13,6,2,6,13,6,2,6,12,6,2,6,12,6,2,6,13,6,2,6,13,6,2,6,13,6,2,6,13,6,2,6,13,6,2,6,13,6,2,6,12,6,2,6,13,6,2,6,12,6,2,6,12,6,2
