LDEV_Rnd_Write_Hit4A.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:4A:19(5-6)","00:4A:1A(5-6)","00:4A:1B(5-6)","00:4A:1C(5-6)","00:4A:1D(5-6)","00:4A:1E(13-1)","00:4A:1F(13-1)","00:4A:20(13-1)","00:4A:21X(X198-1)","00:4A:27X(X34-1)"
"55","2014/04/01 21:58",0,0,99,0,99,50,0,0,98,70
"56","2014/04/01 22:03",0,0,99,0,99,0,74,63,98,86
"57","2014/04/01 22:08",0,0,99,0,99,0,80,0,98,35
"58","2014/04/01 22:13",0,0,99,0,99,50,61,0,98,67
"59","2014/04/01 22:18",0,0,98,0,99,0,70,0,98,85
"60","2014/04/01 22:23",0,0,100,0,99,0,0,0,98,61
"61","2014/04/01 22:28",0,0,99,0,99,50,58,0,98,71
"62","2014/04/01 22:33",0,0,99,0,99,0,80,0,98,86
"63","2014/04/01 22:38",0,0,99,0,99,50,0,0,97,58
"64","2014/04/01 22:43",0,0,99,0,99,0,57,0,98,85
"65","2014/04/01 22:48",0,0,98,0,99,0,75,0,98,52
"66","2014/04/01 22:53",0,0,99,0,99,50,0,0,98,96
"67","2014/04/01 22:58",0,0,99,0,99,50,50,0,97,62
"68","2014/04/01 23:03",0,0,95,0,99,0,70,0,90,70
"69","2014/04/01 23:08",0,0,95,0,99,0,70,0,90,44
"70","2014/04/01 23:13",100,0,98,0,99,50,42,0,96,0
"71","2014/04/01 23:18",100,0,99,0,99,0,57,0,97,68
"72","2014/04/01 23:23",0,0,98,0,99,0,68,0,95,0
"73","2014/04/01 23:28",0,0,99,0,99,50,0,0,97,66
"74","2014/04/01 23:33",0,0,99,0,99,0,0,0,97,15
"75","2014/04/01 23:38",0,0,99,0,99,50,68,0,95,0
"76","2014/04/01 23:43",0,0,98,0,99,0,0,0,95,0
"77","2014/04/01 23:48",0,0,99,0,99,0,0,0,96,50
"78","2014/04/01 23:53",0,0,100,0,99,50,67,0,96,56
"79","2014/04/01 23:58",0,0,99,0,99,50,0,0,96,58
"80","2014/04/02 00:03",0,0,100,0,99,0,64,0,98,43
"81","2014/04/02 00:08",0,0,98,0,99,0,70,0,96,27
"82","2014/04/02 00:13",0,0,99,0,99,50,0,0,98,26
"83","2014/04/02 00:18",0,0,99,0,99,0,67,0,98,62
"84","2014/04/02 00:23",0,0,99,0,99,0,0,0,98,16
"85","2014/04/02 00:28",0,0,99,0,99,50,65,0,97,40
"86","2014/04/02 00:33",0,0,99,0,99,0,0,0,98,0
"87","2014/04/02 00:38",0,0,99,0,99,50,0,0,98,0
"88","2014/04/02 00:43",0,0,99,0,99,0,65,0,98,66
"89","2014/04/02 00:48",0,0,98,0,99,0,70,0,97,33
"90","2014/04/02 00:53",0,0,99,0,99,50,0,0,98,40
"91","2014/04/02 00:58",0,0,99,0,99,50,65,0,98,42
"92","2014/04/02 01:03",0,0,99,0,99,0,63,0,98,64
"93","2014/04/02 01:08",0,0,95,0,99,0,71,0,97,76
"94","2014/04/02 01:13",0,0,92,0,99,50,0,0,98,75
"95","2014/04/02 01:18",0,0,92,0,99,0,0,0,98,64
"96","2014/04/02 01:23",0,0,90,0,99,0,68,0,96,40
