"No.","time","00:5C:8E(3-6)","00:5C:9B(3-6)","00:5C:A7(5-12)","00:5C:A8(5-15)","00:5C:B1(5-13)","00:5C:B2(5-2)","00:5C:B3X(X187-1)","00:5C:B4X(X186-1)","00:5C:BFX(X188-1)","00:5C:CC(1-2)","00:5C:CD(1-2)","00:5C:CE(1-2)","00:5C:CF(1-3)","00:5C:D9(1-3)","00:5C:DAX(X120-1)","00:5C:DBX(X124-1)","00:5C:DCX(X123-1)","00:5C:E2X(X122-1)","00:5C:E3X(X121-1)","00:5C:E4(3-8)","00:5C:E5(3-8)","00:5C:E6(3-9)","00:5C:E7(1-2)","00:5C:E8(1-2)","00:5C:E9(1-3)","00:5C:EA(1-3)","00:5C:EDX(X220-1)","00:5C:F5(5-15)","00:5C:F6(5-15)","00:5C:F7(5-15)","00:5C:F8(5-15)","00:5C:F9(5-15)","00:5C:FA(5-15)","00:5C:FB(5-15)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"61","2014/04/01 22:28",98,0,95,0,0,0,0,0,0,93,0,0,92,0,81,90,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
"62","2014/04/01 22:33",98,0,96,0,100,11,0,0,0,90,0,0,91,0,0,90,0,0,0,0,0,0,95,100,0,0,0,0,0,0,0,0,0,0
"63","2014/04/01 22:38",97,98,96,0,100,0,0,0,0,86,0,0,90,0,80,90,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
"64","2014/04/01 22:43",97,0,0,0,0,0,0,0,0,92,0,0,91,100,83,90,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
"65","2014/04/01 22:48",96,0,0,0,0,23,0,0,0,91,0,0,90,100,78,90,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"66","2014/04/01 22:53",97,0,0,0,0,0,0,0,0,88,0,0,0,0,83,92,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"67","2014/04/01 22:58",96,0,0,0,0,14,0,0,0,90,0,0,0,0,71,88,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"68","2014/04/01 23:03",96,0,75,0,100,0,0,0,0,90,0,0,0,0,91,90,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"69","2014/04/01 23:08",96,85,0,0,100,32,0,0,0,0,0,0,0,0,79,90,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"70","2014/04/01 23:13",96,0,80,0,0,25,0,0,0,66,0,0,0,0,90,90,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
"71","2014/04/01 23:18",96,0,66,0,0,13,0,0,0,92,0,0,90,0,87,90,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"72","2014/04/01 23:23",98,0,0,0,0,15,0,0,0,90,100,0,90,0,87,87,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"73","2014/04/01 23:28",96,0,28,0,0,20,0,0,0,90,0,0,90,0,82,92,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
"74","2014/04/01 23:33",98,0,68,0,0,13,0,0,0,0,0,0,0,0,84,91,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
