Port_KBPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"41","2014/04/01 20:48",0,0,0,8839,1000,0,4927,8091,0,0,10,12,0,77,17738,0,52693,357,8467,0,0,0,9218,1000,0,4856,8265,0,0,12,11,9,104,17194,0,370,48751,8519
"42","2014/04/01 20:53",0,0,0,8639,2851,0,3560,7695,0,0,12,13,9,100,12505,0,50219,1942,5289,0,0,0,8596,2722,0,3576,7645,0,0,10,11,3,81,13212,0,1993,49928,5327
"43","2014/04/01 20:58",0,0,0,9595,3005,0,5769,9102,0,0,12,10,3,88,10915,0,68043,1805,5255,0,0,0,10851,3049,0,5870,8914,0,0,12,10,12,91,12081,0,1812,74560,5517
"44","2014/04/01 21:03",0,0,0,7156,2579,0,5754,8643,0,0,12,10,13,326,13736,0,73795,271,7170,0,0,0,6676,2540,0,5804,8909,0,0,11,12,3,311,13243,0,257,69069,8048
"45","2014/04/01 21:08",0,0,0,9119,3253,0,4238,12768,0,0,12,12,6,78,10223,0,78610,2088,4744,0,0,0,8563,3307,0,4318,12929,0,0,11,11,9,102,10183,0,2152,75861,4692
"46","2014/04/01 21:13",0,0,0,7293,2516,0,5776,18489,0,0,12,11,6,94,7194,0,69950,1912,24189,0,0,0,6574,2616,0,5695,18544,0,0,12,10,10,88,7171,0,1936,76732,23817
"47","2014/04/01 21:18",0,0,0,7147,1441,0,6705,12731,0,0,12,11,13,99,19511,0,88826,623,5055,0,0,0,6904,1414,0,7231,12720,0,0,11,11,3,84,19522,0,615,90835,5087
"48","2014/04/01 21:23",0,0,0,2909,3274,0,3919,7232,0,0,13,12,4,81,6037,0,94243,2195,5190,0,0,0,3248,3425,0,4186,7188,0,0,11,11,12,103,6412,0,2249,89535,5355
"49","2014/04/01 21:28",0,0,0,6221,2542,0,4410,5599,0,0,11,11,8,95,22840,0,84632,1955,3727,0,0,0,6408,2574,0,4695,5600,0,0,11,12,8,88,23180,0,1910,83608,3968
"50","2014/04/01 21:33",0,0,0,8319,1121,0,5944,8216,0,0,12,11,12,102,6881,0,78822,555,11574,0,0,0,7797,1105,0,6389,8212,0,0,12,11,4,84,7698,0,581,82182,12396
"51","2014/04/01 21:38",0,0,0,7701,2536,0,7634,7202,0,0,12,10,3,76,16687,0,60106,2059,8694,0,0,0,7279,2420,0,8582,7069,0,0,11,12,13,102,16926,0,2076,58612,9170
"52","2014/04/01 21:43",0,0,0,11756,2075,0,7111,8971,0,0,14,12,10,96,23156,0,57715,1603,28612,0,0,0,11870,2138,0,7035,8922,0,0,13,13,6,82,23573,0,1671,58095,26336
"53","2014/04/01 21:48",0,0,0,13982,1239,0,6431,20858,0,0,12,12,9,90,30732,0,61981,273,14689,0,0,0,14881,1255,0,6762,20836,0,0,12,11,7,89,31596,0,271,63635,14548
"54","2014/04/01 21:53",0,0,0,12142,2395,0,6519,12196,0,0,13,10,3,82,22562,0,55096,2134,17877,0,0,0,12701,2466,0,6306,12237,0,0,10,12,12,99,22105,0,2079,54091,18266
"55","2014/04/01 21:58",0,0,0,8359,2185,0,4440,7483,0,0,11,11,13,104,17923,0,88395,1692,11552,0,0,0,6982,2103,0,4348,7400,0,0,11,12,3,75,17404,0,1692,89108,11062
"56","2014/04/01 22:03",0,0,0,18415,1813,0,4813,5919,0,0,13,10,6,309,23181,0,80438,526,24806,0,0,0,20365,1803,0,4740,5946,0,0,12,10,10,309,23063,0,535,82873,25616
"57","2014/04/01 22:08",0,0,0,74733,2489,0,4766,6177,0,0,12,11,6,78,17544,0,103405,2052,54793,0,0,0,73337,2396,0,4730,6158,0,0,11,13,9,102,18011,0,2069,98011,56473
"58","2014/04/01 22:13",0,0,0,67001,2205,0,6147,139,0,0,11,10,13,97,13492,0,72270,1787,52606,0,0,0,67415,2254,0,6057,142,0,0,13,11,3,87,13344,0,1775,73627,50234
