Port_IOPS.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"48","2014/04/01 21:23",0,0,0,251,111,0,328,530,0,0,0,0,0,4,270,0,2018,25,312,0,0,0,265,111,0,338,527,0,0,0,0,0,4,282,0,25,2006,315
"49","2014/04/01 21:28",0,0,0,307,100,0,434,498,0,0,0,0,0,4,426,0,1997,25,215,0,0,0,306,102,0,427,497,0,0,0,0,0,4,430,0,25,2017,228
"50","2014/04/01 21:33",0,0,0,410,103,0,431,479,0,0,0,0,0,4,276,0,2119,24,363,0,0,0,395,102,0,434,476,0,0,0,0,0,4,277,0,24,2104,343
"51","2014/04/01 21:38",0,0,0,444,89,0,493,499,0,0,0,0,0,4,361,0,2240,25,276,0,0,0,443,89,0,480,501,0,0,0,0,0,4,357,0,25,2236,292
"52","2014/04/01 21:43",0,0,0,523,79,0,603,570,0,0,0,0,0,5,477,0,2093,24,556,0,0,0,530,81,0,607,569,0,0,0,0,0,4,482,0,24,2106,509
"53","2014/04/01 21:48",0,0,0,531,71,0,561,518,0,0,0,0,0,5,594,0,2144,22,365,0,0,0,536,70,0,563,513,0,0,0,0,0,4,600,0,22,2148,383
"54","2014/04/01 21:53",0,0,0,475,83,0,622,338,0,0,0,0,0,3,377,0,1962,24,489,0,0,0,487,86,0,626,339,0,0,0,0,0,6,375,0,24,1993,496
"55","2014/04/01 21:58",0,0,0,196,83,0,399,489,0,0,0,0,1,5,316,0,2032,24,347,0,0,0,183,85,0,392,486,0,0,0,0,0,4,309,0,24,2034,342
"56","2014/04/01 22:03",0,0,0,407,85,0,455,501,0,0,0,0,0,7,395,0,2751,23,889,0,0,0,410,85,0,465,504,0,0,0,0,0,5,407,0,23,2783,896
"57","2014/04/01 22:08",0,0,0,524,90,0,477,313,0,0,0,0,0,4,356,0,2470,25,1056,0,0,0,527,88,0,463,310,0,0,0,0,0,4,358,0,25,2380,1068
"58","2014/04/01 22:13",0,0,0,553,91,0,669,3,0,0,0,0,1,4,299,0,2436,24,1403,0,0,0,560,95,0,668,3,0,0,0,0,0,5,302,0,24,2450,1373
"59","2014/04/01 22:18",0,0,0,315,70,0,852,3,0,0,0,0,0,5,442,0,3383,22,1088,0,0,0,318,72,0,856,4,0,0,0,0,0,4,441,0,22,3421,1087
"60","2014/04/01 22:23",0,0,0,180,81,0,619,7,0,0,0,0,0,4,294,0,3341,24,1179,0,0,0,176,80,0,626,6,0,0,0,0,0,4,309,0,24,3347,1172
"61","2014/04/01 22:28",0,0,0,207,81,0,526,4,0,0,0,0,0,4,281,0,3658,24,936,0,0,0,211,80,0,525,4,0,0,0,0,0,4,296,0,24,3646,946
"62","2014/04/01 22:33",0,0,0,242,77,0,487,10,0,0,0,0,0,4,352,0,2912,22,1374,0,0,0,237,77,0,493,8,0,0,0,0,1,4,360,0,22,2915,1388
"63","2014/04/01 22:38",0,0,0,213,76,0,275,6,0,0,0,0,1,5,301,0,2710,24,1168,0,0,0,221,71,0,271,6,0,0,0,0,0,4,294,0,24,2737,1153
