Port_Response.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-E","CL3-E","CL5-E","CL7-E","CL1-F","CL3-F","CL5-F","CL7-F","CL3-C","CL1-D","CL3-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-E","CL4-E","CL6-E","CL8-E","CL2-F","CL4-F","CL6-F","CL8-F","CL2-C","CL4-C","CL4-D"
"61","2014/04/01 22:28",-3,-3,-3,5232,7500,-3,1368,1403,-3,-3,-3,-3,-3,504,664,-3,1715,1579,3411,-3,-3,-3,5248,7416,-3,1267,1813,-3,-3,-3,-3,-3,490,662,-3,3195,1704,3424
"62","2014/04/01 22:33",-3,-3,-3,2825,18792,-3,1368,1680,-3,-3,-3,-3,-3,594,990,-3,161,1269,2956,-3,-3,-3,2856,19080,-3,1421,2717,-3,-3,-3,-3,539,436,967,-3,1254,4380,2960
"63","2014/04/01 22:38",-3,-3,-3,3537,9114,-3,2231,1391,-3,-3,-3,-3,635,370,876,-3,2627,2294,2974,-3,-3,-3,3427,10318,-3,2183,1567,-3,-3,-3,-3,-3,497,862,-3,3482,2639,3023
"64","2014/04/01 22:43",-3,-3,-3,3641,13048,-3,1745,1312,-3,-3,-3,-3,-3,480,741,-3,1764,2400,1581,-3,-3,-3,3649,13970,-3,1798,1056,-3,-3,-3,-3,-3,453,656,-3,3398,1709,1602
"65","2014/04/01 22:48",-3,-3,-3,5101,12485,-3,1921,2649,-3,-3,-3,-3,-3,477,620,-3,2042,1417,4290,-3,-3,-3,4966,12937,-3,1945,2410,-3,-3,-3,-3,-3,480,649,-3,1160,2065,4356
"66","2014/04/01 22:53",-3,-3,-3,8193,14395,-3,1933,1450,-3,-3,-3,-3,-3,421,875,-3,2352,2671,4915,-3,-3,-3,8281,14733,-3,1842,1824,-3,-3,-3,-3,-3,809,854,-3,3519,2431,17
"67","2014/04/01 22:58",-3,-3,-3,7493,8498,-3,643,1576,-3,-3,-3,-3,-3,608,931,-3,2344,2177,949,-3,-3,-3,7480,8555,-3,632,1733,-3,-3,-3,-3,-3,541,888,-3,3329,2310,642
"68","2014/04/01 23:03",-3,-3,-3,8184,7019,-3,1444,672,-3,-3,-3,-3,-3,926,1597,-3,4147,1546,1179,-3,-3,-3,8279,6315,-3,1383,569,-3,-3,-3,-3,-3,1361,1613,-3,1544,3871,1373
"69","2014/04/01 23:08",-3,-3,-3,8651,4971,-3,1740,1224,-3,-3,-3,-3,1967,417,1027,-3,677,2714,6547,-3,-3,-3,8368,5276,-3,1629,1336,-3,-3,-3,-3,974,466,970,-3,3666,955,490
"70","2014/04/01 23:13",-3,-3,-3,6019,3759,-3,1976,1581,-3,-3,-3,-3,2307,507,5031,-3,106,2448,1542,-3,-3,-3,5817,3724,-3,2064,1749,-3,-3,-3,-3,2485,471,5250,-3,3379,89,1415
"71","2014/04/01 23:18",-3,-3,-3,1957,2828,-3,1676,1361,-3,-3,-3,-3,9915,510,1951,-3,2655,1865,5221,-3,-3,-3,2098,2893,-3,1637,1500,-3,-3,-3,-3,9595,695,2288,-3,1652,2644,5939
