"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"38","2014/04/01 20:33",6,6,6,0,0,0,0,8,8,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,377,373,364,375,365,360,370,0,0,0,0,0
"39","2014/04/01 20:38",9,9,9,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3267,3191,3133,3193,3166,3171,3198,0,0,0,0,0
"40","2014/04/01 20:43",6,6,6,0,0,0,0,8,8,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2915,2832,2790,2828,2809,2800,2814,0,0,0,0,0
"41","2014/04/01 20:48",6,6,6,0,0,0,0,9,9,9,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2276,2214,2173,2211,2172,2190,2209,0,0,0,0,0
"42","2014/04/01 20:53",6,6,6,0,0,0,0,11,11,11,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1150,1132,1114,1129,1106,1114,1128,0,0,0,0,0
"43","2014/04/01 20:58",6,6,6,0,0,0,0,8,8,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,958,942,1003,1016,969,932,1050,0,0,0,0,0
"44","2014/04/01 21:03",12,12,12,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,838,810,794,819,821,799,829,0,0,0,0,0
"45","2014/04/01 21:08",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,788,767,744,763,745,754,769,0,0,0,0,0
"46","2014/04/01 21:13",8,8,8,0,0,0,0,10,10,10,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,367,357,313,321,314,330,348,0,0,0,0,0
"47","2014/04/01 21:18",6,6,6,0,0,0,0,8,8,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2536,2457,2452,2498,2481,2447,2478,0,0,0,0,0
"48","2014/04/01 21:23",10,10,10,0,0,0,0,18,16,16,7,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,95,110,95,117,92,103,91,0,0,0,0,0
"49","2014/04/01 21:28",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3259,3185,3138,3177,3154,3143,3182,0,0,0,0,0
"50","2014/04/01 21:33",6,6,6,0,0,0,0,9,9,9,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,328,316,327,336,311,314,352,0,0,0,0,0
"51","2014/04/01 21:38",8,8,8,0,0,0,0,10,10,10,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2084,2031,2016,2041,2026,2009,2058,0,0,0,0,0
"52","2014/04/01 21:43",8,8,8,0,0,0,0,8,8,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3196,3132,3082,3135,3107,3120,3135,0,0,0,0,0
"53","2014/04/01 21:48",6,6,6,0,0,0,0,9,9,9,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4061,3973,3929,3951,3960,3945,3976,0,0,0,0,0
"54","2014/04/01 21:53",6,6,6,0,0,0,0,12,12,12,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1168,1150,1151,1178,1140,1134,1182,0,0,0,0,0
"55","2014/04/01 21:58",6,6,6,0,0,0,0,12,12,12,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,95,93,103,121,80,82,129,0,0,0,0,0
"56","2014/04/01 22:03",6,6,6,0,0,0,0,7,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1194,1164,1136,1172,1164,1148,1159,0,0,0,0,0
