LDEV_Response_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2747,2745,1398,1488
"68","2014/04/01 23:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2387,5963,1286,1527
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2655,10407,1336,1748
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4468,5123,1582,2313
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8804,9018,1515,1707
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9586,2916,2075,2433
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3888,5074,1868,2532
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4881,5715,1776,2454
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5143,4830,1817,2087
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9079,4622,2051,2329
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5008,7424,2006,2683
"78","2014/04/01 23:53",26769,49737,7520,-3,-3,-3,-3,-3,-3,-3,-3,3238,4791,1806,1860
"79","2014/04/01 23:58",39075,19944,93065,-3,-3,4313,-3,-3,-3,-3,-3,4200,2624,1621,2592
"80","2014/04/02 00:03",-3,-3,7234,-3,-3,1339,-3,-3,-3,-3,-3,3226,4215,1547,3024
"81","2014/04/02 00:08",8326,-3,8619,-3,-3,1159,-3,-3,-3,-3,-3,5952,6205,1649,1876
"82","2014/04/02 00:13",8298,-3,10359,-3,-3,1019,-3,-3,-3,-3,-3,11298,14452,1790,1911
"83","2014/04/02 00:18",6561,-3,7128,-3,-3,549,-3,-3,-3,-3,-3,3782,2982,1618,2071
"84","2014/04/02 00:23",9211,32838,9558,-3,-3,1050,-3,-3,-3,-3,-3,3422,2933,1580,1955
"85","2014/04/02 00:28",9656,11305,-3,-3,-3,1394,-3,-3,-3,-3,-3,3714,3463,1919,2244
"86","2014/04/02 00:33",-3,-3,9061,-3,-3,847,-3,-3,-3,-3,-3,3431,3456,5732,2007
"87","2014/04/02 00:38",10908,14956,-3,-3,-3,2155,-3,-3,-3,-3,-3,2886,3264,2247,2192
"88","2014/04/02 00:43",7155,7478,-3,-3,-3,1872,-3,-3,-3,-3,-3,4393,3344,1921,2099
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,1360,-3,-3,-3,-3,-3,3192,2743,1656,1676
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9510,10930,1646,2114
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2876,2601,1402,1990
"92","2014/04/02 01:03",30251,20602,-3,-3,-3,10307,-3,-3,-3,-3,-3,4283,2285,1075,2160
"93","2014/04/02 01:08",13523,16080,5827,-3,-3,13882,-3,-3,-3,-3,-3,5653,2175,1194,1925
"94","2014/04/02 01:13",-3,-3,5685,-3,-3,-3,-3,-3,-3,-3,-3,2658,1996,1261,2085
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2936,2499,2181,1694
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3297,1297,1853,2527
