LDEV_Response_5-6.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:85","00:2A:86","00:2A:87","00:2C:7E","00:3B:1A","00:3B:35","00:3B:50","00:4A:19","00:4A:1A","00:4A:1B","00:4A:1C","00:4A:1D","00:5A:FC","00:5A:FD","00:5B:2F"
"20","2014/04/01 19:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,413,-3,280,-3,-3,-3
"21","2014/04/01 19:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,10856,-3,957,-3,-3,-3
"22","2014/04/01 19:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,6762,-3,981,-3,-3,-3
"23","2014/04/01 19:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,17143,-3,1162,-3,-3,-3
"24","2014/04/01 19:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,5877,-3,1012,-3,-3,-3
"25","2014/04/01 19:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,10657,-3,1375,-3,-3,12662
"26","2014/04/01 19:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,996,-3,434,-3,-3,-3
"27","2014/04/01 19:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,842,-3,452,-3,-3,-3
"28","2014/04/01 19:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,1187,-3,369,-3,-3,-3
"29","2014/04/01 19:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,534,-3,420,-3,-3,-3
"30","2014/04/01 19:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,410,-3,311,-3,-3,-3
"31","2014/04/01 19:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,497,-3,274,-3,-3,-3
"32","2014/04/01 20:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,516,-3,282,-3,-3,-3
"33","2014/04/01 20:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,935,-3,282,-3,-3,-3
"34","2014/04/01 20:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,409,-3,284,-3,-3,-3
"35","2014/04/01 20:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,273,-3,245,-3,-3,-3
"36","2014/04/01 20:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,249,-3,200,-3,-3,-3
"37","2014/04/01 20:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,540,-3,243,-3,-3,-3
"38","2014/04/01 20:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,401,-3,219,-3,-3,-3
"39","2014/04/01 20:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,659,-3,246,-3,-3,-3
"40","2014/04/01 20:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,1229,-3,256,-3,-3,-3
"41","2014/04/01 20:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,297,-3,240,-3,-3,-3
"42","2014/04/01 20:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,565,-3,286,-3,-3,-3
"43","2014/04/01 20:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,243,-3,255,-3,-3,-3
"44","2014/04/01 21:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,303,-3,197,-3,-3,-3
"45","2014/04/01 21:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,528,-3,225,-3,-3,-3
"46","2014/04/01 21:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,1069,-3,273,-3,-3,-3
"47","2014/04/01 21:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,881,-3,212,-3,-3,-3
"48","2014/04/01 21:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,500,-3,185,-3,-3,-3
"49","2014/04/01 21:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,497,-3,221,-3,-3,-3
"50","2014/04/01 21:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,1119,-3,252,-3,-3,-3
"51","2014/04/01 21:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,318,-3,293,-3,-3,-3
"52","2014/04/01 21:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,419,-3,265,-3,-3,-3
"53","2014/04/01 21:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,314,-3,196,-3,-3,-3
"54","2014/04/01 21:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,232,-3,248,-3,-3,-3
"55","2014/04/01 21:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,361,-3,257,-3,-3,-3
"56","2014/04/01 22:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,242,-3,215,-3,-3,-3
"57","2014/04/01 22:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,320,-3,275,-3,-3,-3
"58","2014/04/01 22:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,281,-3,264,-3,-3,-3
"59","2014/04/01 22:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,288,-3,216,-3,-3,-3
"60","2014/04/01 22:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,619,-3,249,-3,-3,-3
"61","2014/04/01 22:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,226,-3,267,-3,-3,-3
"62","2014/04/01 22:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,242,-3,266,-3,-3,-3
"63","2014/04/01 22:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,573,-3,226,-3,-3,-3
"64","2014/04/01 22:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,735,-3,330,-3,-3,-3
"65","2014/04/01 22:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,443,-3,216,-3,-3,-3
"66","2014/04/01 22:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,495,-3,260,-3,-3,-3
"67","2014/04/01 22:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,373,-3,265,-3,-3,-3
"68","2014/04/01 23:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,690,-3,567,-3,-3,-3
"69","2014/04/01 23:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,957,-3,715,-3,-3,-3
"70","2014/04/01 23:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,583,-3,385,-3,-3,-3
"71","2014/04/01 23:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,817,-3,383,-3,-3,-3
"72","2014/04/01 23:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,548,-3,375,-3,-3,-3
"73","2014/04/01 23:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,787,-3,436,-3,-3,-3
"74","2014/04/01 23:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,947,-3,543,-3,-3,-3
"75","2014/04/01 23:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,539,-3,487,-3,-3,-3
"76","2014/04/01 23:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,913,-3,546,-3,-3,-3
"77","2014/04/01 23:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,720,-3,402,-3,-3,-3
"78","2014/04/01 23:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,423,-3,350,-3,-3,-3
"79","2014/04/01 23:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,1194,-3,355,-3,-3,-3
"80","2014/04/02 00:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,512,-3,380,-3,-3,-3
"81","2014/04/02 00:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,592,-3,366,-3,-3,-3
"82","2014/04/02 00:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,475,-3,334,-3,-3,-3
"83","2014/04/02 00:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,927,-3,435,-3,-3,-3
"84","2014/04/02 00:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,469,-3,378,-3,-3,-3
"85","2014/04/02 00:28",-3,-3,-3,-3,-3,-3,-3,-3,-3,585,-3,393,-3,-3,-3
"86","2014/04/02 00:33",-3,-3,-3,-3,-3,-3,-3,-3,-3,550,-3,335,-3,-3,-3
"87","2014/04/02 00:38",-3,-3,-3,-3,-3,-3,-3,-3,-3,469,-3,381,-3,-3,-3
"88","2014/04/02 00:43",-3,-3,-3,-3,-3,-3,-3,-3,-3,695,-3,418,-3,-3,-3
"89","2014/04/02 00:48",-3,-3,-3,-3,-3,-3,-3,-3,-3,431,-3,400,-3,-3,-3
"90","2014/04/02 00:53",-3,-3,-3,-3,-3,-3,-3,-3,-3,390,-3,338,-3,-3,-3
"91","2014/04/02 00:58",-3,-3,-3,-3,-3,-3,-3,-3,-3,473,-3,336,-3,-3,-3
"92","2014/04/02 01:03",-3,-3,-3,-3,-3,-3,-3,-3,-3,642,-3,376,-3,-3,-3
"93","2014/04/02 01:08",-3,-3,-3,-3,-3,-3,-3,-3,-3,6276,-3,779,-3,-3,-3
"94","2014/04/02 01:13",-3,-3,-3,-3,-3,-3,-3,-3,-3,4883,-3,792,-3,-3,-3
"95","2014/04/02 01:18",-3,-3,-3,-3,-3,-3,-3,-3,-3,18347,-3,1197,-3,-3,-3
"96","2014/04/02 01:23",-3,-3,-3,-3,-3,-3,-3,-3,-3,4832,-3,602,-3,-3,-3
