LDEV_Rnd_Read_Hit05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"45","2014/04/01 21:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,82,87,87,95,95,91,88,0,0,0,0,0
"46","2014/04/01 21:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,87,96,97,94,85,0,0,0,0,0
"47","2014/04/01 21:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,98,98,96,95,92,98,0,0,0,0,0
"48","2014/04/01 21:23",100,100,100,0,0,0,0,99,99,99,0,50,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,36,44,65,44,26,59,84,0,0,0,0,0
"49","2014/04/01 21:28",100,100,100,0,0,0,0,100,100,100,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,86,89,97,96,94,97,94,0,0,0,0,0
"50","2014/04/01 21:33",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,83,87,51,89,75,86,85,0,0,0,0,0
"51","2014/04/01 21:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,98,87,98,99,93,93,0,0,0,0,0
"52","2014/04/01 21:43",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,99,98,96,96,94,0,0,0,0,0
"53","2014/04/01 21:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,93,94,92,91,92,92,0,0,0,0,0
"54","2014/04/01 21:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,97,97,97,98,99,96,0,0,0,0,0
"55","2014/04/01 21:58",100,100,100,0,0,0,0,100,100,100,0,0,99,99,99,100,100,0,0,0,0,0,0,0,0,0,0,98,98,99,98,83,95,97,0,0,0,0,0
"56","2014/04/01 22:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,84,86,78,88,86,84,82,0,0,0,0,0
"57","2014/04/01 22:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,90,88,90,92,93,92,84,0,0,0,0,0
"58","2014/04/01 22:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,96,0,97,94,0,93,0,0,0,0,0
"59","2014/04/01 22:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,97,98,97,97,98,97,0,0,0,0,0
"60","2014/04/01 22:23",99,99,99,53,0,0,0,100,100,100,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,89,97,100,97,92,94,95,0,0,0,0,0
"61","2014/04/01 22:28",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,96,100,99,100,90,97,0,0,0,0,0
"62","2014/04/01 22:33",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,93,88,91,89,88,91,86,0,0,0,0,0
"63","2014/04/01 22:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,97,100,98,100,71,95,0,0,0,0,0
"64","2014/04/01 22:43",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,96,95,97,93,98,97,0,0,0,0,0
"65","2014/04/01 22:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,97,100,95,88,88,93,0,0,0,0,0
"66","2014/04/01 22:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,96,99,97,97,98,95,0,0,0,0,0
