LDEV_Rnd_Read_Hit06.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:06:06X(X24-1)","00:06:07X(X26-1)","00:06:08X(X27-1)","00:06:09X(X25-1)","00:06:0AX(X29-1)","00:06:0CX(X172-1)","00:06:0DX(X163-1)","00:06:0EX(X406-1)","00:06:0FX(X434-1)","00:06:10X(X16-1)","00:06:11X(X446-1)","00:06:12X(X392-1)","00:06:13X(X162-1)","00:06:14X(X383-1)","00:06:15X(X444-1)","00:06:16X(X176-1)","00:06:26X(X408-1)"
"17","2014/04/01 18:48",100,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,0
"18","2014/04/01 18:53",100,0,0,33,0,100,33,100,66,100,100,100,100,50,50,100,0
"19","2014/04/01 18:58",100,0,65,100,0,100,100,100,100,33,100,100,100,100,100,16,50
"20","2014/04/01 19:03",20,33,0,19,21,44,30,14,13,26,80,7,25,19,14,23,83
"21","2014/04/01 19:08",0,0,0,0,0,28,5,100,100,100,100,30,23,50,0,4,60
"22","2014/04/01 19:13",33,0,0,100,33,75,100,33,66,100,33,100,100,33,33,33,10
"23","2014/04/01 19:18",100,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0
"24","2014/04/01 19:23",0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,0
"25","2014/04/01 19:28",100,100,65,0,100,100,100,100,100,32,100,100,100,100,100,100,0
"26","2014/04/01 19:33",0,0,0,0,0,100,100,100,100,0,100,100,100,100,100,100,0
"27","2014/04/01 19:38",100,100,0,100,0,83,100,33,100,16,100,100,100,100,100,100,16
"28","2014/04/01 19:43",0,0,0,0,0,75,100,100,66,100,33,100,100,33,25,25,35
"29","2014/04/01 19:48",0,0,0,0,0,100,100,100,100,100,100,100,100,50,100,100,0
"30","2014/04/01 19:53",0,0,0,0,0,58,100,100,100,100,100,100,100,100,100,100,0
"31","2014/04/01 19:58",0,0,65,0,0,100,100,100,100,33,100,100,100,100,100,100,75
"32","2014/04/01 20:03",80,0,0,38,33,7,77,8,30,9,28,7,18,28,83,27,100
"33","2014/04/01 20:08",0,0,0,0,0,9,100,7,28,100,100,100,6,52,0,0,0
"34","2014/04/01 20:13",0,0,0,0,0,33,100,11,90,100,33,100,100,80,25,33,12
"35","2014/04/01 20:18",100,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,0
"36","2014/04/01 20:23",100,0,0,33,0,100,100,100,100,100,100,100,100,100,100,100,66
"37","2014/04/01 20:28",0,0,65,50,0,100,100,100,100,33,100,100,100,100,100,100,0
"38","2014/04/01 20:33",0,0,0,0,0,100,100,83,85,100,100,100,100,100,100,100,0
"39","2014/04/01 20:38",100,0,0,0,100,100,100,25,100,100,100,100,100,100,100,100,0
"40","2014/04/01 20:43",33,0,0,100,25,33,100,16,88,100,100,100,100,100,25,25,22
"41","2014/04/01 20:48",100,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,0
"42","2014/04/01 20:53",100,0,0,33,0,50,100,100,42,100,100,100,100,100,100,14,0
"43","2014/04/01 20:58",100,0,65,100,100,11,100,6,100,33,66,33,32,14,9,50,50
"44","2014/04/01 21:03",25,5,0,50,20,7,91,30,33,66,10,66,9,10,19,37,80
"45","2014/04/01 21:08",0,0,0,0,0,100,100,4,100,5,5,42,9,50,0,66,83
"46","2014/04/01 21:13",0,0,0,100,0,33,100,100,66,100,100,56,100,100,100,70,18
"47","2014/04/01 21:18",100,0,0,100,0,100,100,100,100,100,0,100,50,100,100,100,75
"48","2014/04/01 21:23",0,0,0,33,0,100,100,100,100,100,24,100,100,100,100,100,0
"49","2014/04/01 21:28",0,0,65,100,0,100,100,50,100,33,100,100,100,100,100,100,50
"50","2014/04/01 21:33",0,0,0,100,0,100,100,100,100,100,100,100,100,50,100,100,0
"51","2014/04/01 21:38",0,0,0,100,100,100,100,100,100,100,100,100,100,33,50,92,60
"52","2014/04/01 21:43",33,0,0,100,33,100,100,33,100,100,100,100,100,60,100,84,21
"53","2014/04/01 21:48",100,0,0,100,0,100,54,100,100,100,100,100,100,50,100,92,100
"54","2014/04/01 21:53",100,33,0,33,0,100,42,100,50,100,100,16,100,50,100,100,0
"55","2014/04/01 21:58",100,100,65,100,0,100,100,100,100,33,100,100,100,100,100,16,100
"56","2014/04/01 22:03",0,0,0,45,100,50,100,69,68,66,20,33,53,23,23,10,100
"57","2014/04/01 22:08",0,0,0,5,0,100,100,71,88,100,100,100,39,30,0,0,0
"58","2014/04/01 22:13",0,0,0,100,0,33,100,87,88,100,33,100,100,100,33,33,10
"59","2014/04/01 22:18",0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,73,50
"60","2014/04/01 22:23",100,0,0,33,100,100,100,100,100,100,16,100,100,100,14,100,66
"61","2014/04/01 22:28",100,0,65,100,0,100,100,100,100,33,100,100,100,100,100,100,0
"62","2014/04/01 22:33",0,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,0
"63","2014/04/01 22:38",0,0,0,100,0,100,100,100,100,100,100,100,100,100,100,100,0
"64","2014/04/01 22:43",0,0,0,100,0,100,100,63,100,16,100,100,100,100,100,33,27
"65","2014/04/01 22:48",0,0,0,25,0,100,100,100,100,100,100,100,100,100,100,50,0
"66","2014/04/01 22:53",0,0,0,33,0,100,100,100,100,100,100,100,75,100,100,50,28
"67","2014/04/01 22:58",0,0,65,100,0,100,100,100,100,33,100,100,72,100,100,100,0
"68","2014/04/01 23:03",0,16,0,100,6,11,34,5,29,44,66,14,85,23,93,25,50
"69","2014/04/01 23:08",0,0,0,0,0,9,22,7,45,100,100,100,100,90,100,0,19
"70","2014/04/01 23:13",0,0,0,0,0,8,100,0,90,100,33,100,90,64,72,33,40
"71","2014/04/01 23:18",0,0,0,0,0,100,100,0,100,100,100,100,70,100,90,100,0
"72","2014/04/01 23:23",0,0,0,0,0,100,100,100,83,100,100,100,72,75,88,100,50
"73","2014/04/01 23:28",0,0,65,0,0,100,100,100,66,33,100,100,83,66,90,100,0
"74","2014/04/01 23:33",0,0,0,0,0,100,100,100,100,100,100,100,75,40,92,100,0
"75","2014/04/01 23:38",0,0,0,0,0,100,100,100,100,100,100,100,77,100,90,100,0
"76","2014/04/01 23:43",0,0,0,0,0,33,77,33,88,0,33,100,92,84,84,33,28
"77","2014/04/01 23:48",0,0,0,0,0,100,100,100,77,0,100,100,100,92,100,100,0
"78","2014/04/01 23:53",0,0,0,0,0,100,100,100,80,100,100,100,83,100,100,13,33
"79","2014/04/01 23:58",0,0,65,0,0,13,100,100,100,0,11,25,17,14,14,50,33
"80","2014/04/02 00:03",0,0,0,20,27,7,28,66,31,14,19,11,32,25,31,29,100
"81","2014/04/02 00:08",0,0,0,0,0,100,100,100,28,5,100,30,20,51,41,31,100
"82","2014/04/02 00:13",0,0,0,0,0,33,77,60,70,0,33,100,100,84,84,69,22
"83","2014/04/02 00:18",0,0,0,0,0,100,100,100,100,0,100,100,70,100,100,77,28
"84","2014/04/02 00:23",0,0,0,0,0,100,100,80,88,100,100,100,100,86,100,100,66
"85","2014/04/02 00:28",21,0,65,0,0,100,100,100,100,33,100,100,100,86,100,100,25
"86","2014/04/02 00:33",0,0,0,0,0,100,100,100,100,100,100,100,90,100,100,100,0
"87","2014/04/02 00:38",0,0,0,0,0,100,100,100,100,100,100,100,91,100,100,75,0
"88","2014/04/02 00:43",0,0,0,0,0,33,75,20,80,100,33,100,100,57,82,69,27
"89","2014/04/02 00:48",0,0,0,0,0,100,100,66,100,100,100,100,100,100,100,100,0
"90","2014/04/02 00:53",0,0,0,0,0,100,71,100,61,100,100,100,88,100,63,100,0
"91","2014/04/02 00:58",0,0,65,0,0,100,100,100,100,33,87,100,100,100,90,68,42
"92","2014/04/02 01:03",0,0,0,22,28,100,64,33,62,53,33,6,30,27,17,36,83
"93","2014/04/02 01:08",0,0,0,0,0,50,100,0,100,26,7,100,62,46,54,61,42
"94","2014/04/02 01:13",0,0,0,0,0,25,75,33,77,90,77,100,75,15,81,72,18
"95","2014/04/02 01:18",0,0,0,0,0,50,100,100,100,83,100,100,100,58,92,90,0
"96","2014/04/02 01:23",0,0,0,0,0,50,100,100,100,88,100,100,87,50,100,60,0
