PHY_Short_DRR.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","DRR40-1AU","DRR41-1AU","DRR42-1AU","DRR43-1AU","DRR50-1BU","DRR51-1BU","DRR52-1BU","DRR53-1BU","DRR44-1AL","DRR45-1AL","DRR46-1AL","DRR47-1AL","DRR54-1BL","DRR55-1BL","DRR56-1BL","DRR57-1BL","DRR60-1LU","DRR61-1LU","DRR62-1LU","DRR63-1LU","DRR70-1KU","DRR71-1KU","DRR72-1KU","DRR73-1KU","DRR64-1LL","DRR65-1LL","DRR66-1LL","DRR67-1LL","DRR74-1KL","DRR75-1KL","DRR76-1KL","DRR77-1KL","DRRC0-2MU","DRRC1-2MU","DRRC2-2MU","DRRC3-2MU","DRRD0-2NU","DRRD1-2NU","DRRD2-2NU","DRRD3-2NU","DRRC4-2ML","DRRC5-2ML","DRRC6-2ML","DRRC7-2ML","DRRD4-2NL","DRRD5-2NL","DRRD6-2NL","DRRD7-2NL","DRRE0-2XU","DRRE1-2XU","DRRE2-2XU","DRRE3-2XU","DRRF0-2WU","DRRF1-2WU","DRRF2-2WU","DRRF3-2WU","DRRE4-2XL","DRRE5-2XL","DRRE6-2XL","DRRE7-2XL","DRRF4-2WL","DRRF5-2WL","DRRF6-2WL","DRRF7-2WL"
"62","2014/04/01 22:33",1,1,1,1,1,1,0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"63","2014/04/01 22:38",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"64","2014/04/01 22:43",1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"65","2014/04/01 22:48",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
"66","2014/04/01 22:53",1,1,1,1,1,1,1,1,3,3,3,3,2,2,3,3,2,3,2,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,3,3,2,3,3,3,2,3,2,3,3,1,1,1,1,1,1,1,1
"67","2014/04/01 22:58",1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1
"68","2014/04/01 23:03",2,2,2,1,2,2,1,2,4,4,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,1,2,2,1,2,2,2
"69","2014/04/01 23:08",2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2
"70","2014/04/01 23:13",2,2,2,2,2,2,2,2,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2
"71","2014/04/01 23:18",2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2
