PHY_Long_CHP.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CHP00-1EU","CHP01-1EU","CHP02-1EU","CHP03-1EU","CHP10-1FU","CHP11-1FU","CHP12-1FU","CHP13-1FU","CHP04-1EL","CHP05-1EL","CHP06-1EL","CHP07-1EL","CHP80-2QU","CHP81-2QU","CHP82-2QU","CHP83-2QU","CHP90-2RU","CHP91-2RU","CHP92-2RU","CHP93-2RU","CHP84-2QL","CHP85-2QL","CHP86-2QL","CHP87-2QL"
"50","2014/03/03 13:30",3,8,22,41,3,3,6,3,10,9,4,9,3,8,21,42,3,3,6,4,3,9,10,9
"51","2014/03/03 13:45",4,10,24,44,4,4,6,4,13,11,5,11,4,10,22,45,4,4,7,4,5,10,13,11
"52","2014/03/03 14:00",3,8,24,42,3,3,6,4,12,11,4,9,3,7,23,43,4,3,6,4,4,11,12,10
"53","2014/03/03 14:15",4,8,29,47,4,4,7,5,13,14,4,12,4,8,27,49,4,4,7,5,4,14,13,12
"54","2014/03/03 14:30",4,11,27,42,4,4,7,4,14,12,4,11,4,11,26,44,4,4,7,4,4,12,14,11
"55","2014/03/03 14:45",5,14,25,31,6,6,8,6,21,15,6,13,5,14,23,31,6,6,8,6,6,14,21,14
"56","2014/03/03 15:00",4,10,23,33,4,4,7,5,14,11,4,10,4,10,22,33,4,4,7,5,4,11,14,10
"57","2014/03/03 15:15",4,11,23,20,4,4,7,5,13,14,4,13,4,12,22,21,4,4,7,5,4,14,14,13
"58","2014/03/03 15:30",3,9,23,8,4,4,6,4,11,10,4,10,3,9,22,9,4,4,6,4,4,10,11,11
"59","2014/03/03 15:45",3,9,22,20,4,3,6,4,11,11,4,12,3,10,21,21,4,4,6,4,4,10,12,12
"60","2014/03/03 16:00",5,11,22,62,4,4,6,4,11,10,4,13,5,10,21,63,4,4,6,4,4,10,12,13
"61","2014/03/03 16:15",3,11,21,35,4,4,6,4,11,14,4,11,3,11,21,36,4,3,6,4,4,13,11,11
"62","2014/03/03 16:30",3,11,23,33,4,4,6,4,11,11,4,10,3,12,21,33,3,4,6,4,4,11,11,10
"63","2014/03/03 16:45",4,14,22,10,3,4,6,4,13,11,4,9,4,14,21,11,3,4,6,4,4,11,12,9
"64","2014/03/03 17:00",3,12,17,4,3,3,6,4,10,10,3,15,3,12,16,4,3,3,6,3,3,10,10,15
"65","2014/03/03 17:15",4,18,16,6,5,5,8,6,15,14,5,12,4,18,15,7,5,5,8,6,5,14,15,12
"66","2014/03/03 17:30",10,33,21,21,9,9,12,10,33,17,10,16,10,33,19,21,9,9,12,10,10,16,33,16
"67","2014/03/03 17:45",7,23,18,13,7,7,10,7,27,14,7,15,7,23,17,14,7,7,10,7,7,14,27,14
"68","2014/03/03 18:00",4,13,15,15,5,5,7,5,17,11,4,11,4,13,14,15,5,5,7,5,4,10,17,12
"69","2014/03/03 18:15",3,8,14,8,3,3,7,4,10,14,3,10,3,8,12,9,3,3,7,4,3,14,10,10
"70","2014/03/03 18:30",2,6,13,3,3,3,6,3,9,10,3,14,2,6,12,4,3,3,6,3,3,10,8,14
"71","2014/03/03 18:45",2,6,13,10,3,3,5,3,8,10,3,15,2,6,11,11,3,3,5,3,3,10,9,15
"72","2014/03/03 19:00",2,5,15,8,3,2,5,3,8,9,3,14,2,5,14,9,3,3,5,3,3,8,8,14
"73","2014/03/03 19:15",2,7,14,3,3,3,6,4,9,11,3,16,3,7,13,4,3,3,6,3,3,11,9,15
"74","2014/03/03 19:30",2,5,14,3,3,3,5,3,8,9,3,15,2,5,13,4,3,3,5,3,3,9,8,15
"75","2014/03/03 19:45",2,4,14,3,2,2,5,3,7,9,3,15,2,4,13,3,2,2,5,3,2,9,7,16
"76","2014/03/03 20:00",2,4,14,3,2,3,5,3,8,8,2,16,2,5,13,3,2,2,5,3,2,9,8,16
"77","2014/03/03 20:15",2,5,17,4,3,3,5,3,8,13,3,15,2,5,16,4,2,3,5,3,3,13,8,15
"78","2014/03/03 20:30",2,5,13,3,3,2,5,3,8,10,3,8,2,5,12,3,3,3,5,3,2,10,8,8
"79","2014/03/03 20:45",3,5,14,3,3,3,5,3,9,11,3,8,2,5,13,4,3,3,5,3,3,11,9,8
"80","2014/03/03 21:00",2,7,13,3,3,3,5,3,8,9,3,7,2,7,12,3,2,3,5,3,2,9,8,7
"81","2014/03/03 21:15",2,8,14,4,3,3,6,3,9,12,3,9,2,8,13,4,3,3,5,3,3,12,9,9
"82","2014/03/03 21:30",2,9,14,4,3,3,5,3,8,9,3,8,2,9,13,4,2,3,5,3,3,9,8,8
"83","2014/03/03 21:45",2,8,13,3,2,2,5,3,8,9,3,11,2,8,12,3,2,3,5,2,3,8,8,11
"84","2014/03/03 22:00",2,6,13,4,2,2,5,2,7,8,2,7,2,6,11,5,2,2,5,3,2,8,8,7
"85","2014/03/03 22:15",2,6,13,3,2,3,5,3,7,13,3,14,2,6,12,3,3,2,5,3,2,13,7,13
"86","2014/03/03 22:30",2,7,13,3,2,2,5,3,7,12,2,11,2,7,12,3,2,2,5,2,2,12,7,11
"87","2014/03/03 22:45",2,11,14,3,3,3,5,3,9,11,3,19,2,11,13,4,3,3,5,3,3,11,9,19
"88","2014/03/03 23:00",2,10,14,3,2,3,5,3,8,10,3,20,2,10,13,4,3,3,5,3,3,10,8,20
"89","2014/03/03 23:15",3,14,16,4,3,3,6,4,11,14,4,23,3,14,15,4,3,3,6,4,4,14,11,23
"90","2014/03/03 23:30",3,7,15,3,3,3,6,4,12,9,4,24,3,7,14,4,3,3,6,4,4,9,12,24
"91","2014/03/03 23:45",5,12,16,5,5,5,8,6,21,11,5,27,6,13,15,6,5,5,8,5,6,11,22,28
"92","2014/03/04 00:00",6,15,17,7,7,7,9,7,27,13,7,32,6,15,16,8,7,7,9,7,7,13,28,32
"93","2014/03/04 00:15",7,13,23,7,7,7,14,8,27,19,7,34,7,13,22,8,7,7,14,8,7,19,28,34
"94","2014/03/04 00:30",8,13,20,8,8,8,13,8,31,16,8,31,8,13,18,8,8,8,14,8,8,15,31,31
"95","2014/03/04 00:45",9,14,22,9,9,9,13,10,35,16,9,34,8,14,21,10,9,9,13,9,8,15,35,34
"96","2014/03/04 01:00",10,15,22,10,10,10,12,10,37,16,10,37,10,16,21,10,10,10,12,10,10,16,38,37
"97","2014/03/04 01:15",9,15,22,9,9,9,12,10,34,18,9,33,9,14,22,10,9,10,13,10,9,18,35,33
"98","2014/03/04 01:30",9,15,23,9,9,9,12,10,34,19,9,35,9,15,22,10,9,10,11,10,9,19,35,35
"99","2014/03/04 01:45",9,14,23,9,9,9,12,9,34,22,9,36,9,14,22,10,9,9,12,10,9,21,35,36
"100","2014/03/04 02:00",9,25,22,10,9,9,11,9,33,14,9,32,9,25,22,10,9,9,11,9,9,14,34,32
"101","2014/03/04 02:15",7,20,21,18,8,8,10,9,29,17,8,27,8,20,20,18,8,8,10,8,8,17,29,27
"102","2014/03/04 02:30",7,14,22,22,8,8,10,9,28,15,8,23,7,14,21,23,8,8,10,8,8,14,28,24
"103","2014/03/04 02:45",8,15,21,13,8,8,11,8,30,15,8,23,8,16,20,13,8,8,11,8,8,15,30,23
"104","2014/03/04 03:00",7,10,20,11,7,7,10,8,28,13,7,19,7,11,18,12,7,7,10,8,7,13,28,20
"105","2014/03/04 03:15",7,10,37,25,6,7,10,8,23,17,7,18,6,10,35,26,6,7,9,7,7,17,23,17
"106","2014/03/04 03:30",7,11,49,35,6,7,13,7,24,17,7,19,7,11,47,37,6,6,13,7,7,17,24,19
"107","2014/03/04 03:45",8,13,58,37,7,7,13,7,25,14,7,19,8,12,57,38,8,7,13,8,7,14,25,20
"108","2014/03/04 04:00",7,13,48,31,8,8,10,8,27,14,7,25,7,12,47,32,7,7,10,8,7,13,28,25
"109","2014/03/04 04:15",9,13,55,21,9,9,12,10,31,25,9,21,9,13,54,21,9,9,12,9,9,26,31,21
"110","2014/03/04 04:30",9,14,51,26,9,9,12,10,34,20,9,17,9,14,49,27,9,9,12,9,9,21,33,18
"111","2014/03/04 04:45",6,8,41,19,6,6,9,6,22,15,6,15,6,9,40,19,6,6,9,7,6,15,23,15
"112","2014/03/04 05:00",8,10,37,15,8,7,11,8,28,14,8,16,7,11,36,16,8,7,11,8,7,13,29,17
"113","2014/03/04 05:15",7,21,40,16,10,10,11,9,27,18,8,16,8,21,39,17,10,10,11,9,8,18,27,16
"114","2014/03/04 05:30",6,21,21,10,6,6,8,7,22,15,6,14,6,21,20,11,6,6,8,6,6,15,22,14
"115","2014/03/04 05:45",4,22,16,24,5,5,7,5,16,11,5,11,4,22,15,25,5,5,7,5,5,11,16,12
"116","2014/03/04 06:00",4,23,15,21,5,5,8,5,16,12,5,12,5,23,14,21,5,5,8,5,5,12,16,12
"117","2014/03/04 06:15",8,35,23,38,8,8,12,9,26,18,8,17,8,35,22,39,8,8,12,9,8,18,26,17
"118","2014/03/04 06:30",10,43,26,26,10,10,13,10,36,16,9,18,10,43,25,26,10,10,13,10,10,17,36,18
"119","2014/03/04 06:45",7,34,37,32,7,8,10,8,29,14,7,18,7,34,36,33,8,8,11,8,7,14,29,18
"120","2014/03/04 07:00",4,20,24,34,5,5,8,5,16,11,5,30,4,19,22,35,5,5,8,5,5,11,16,31
"121","2014/03/04 07:15",5,28,30,36,5,5,9,5,15,17,5,33,5,28,29,36,5,4,9,5,5,17,15,33
"122","2014/03/04 07:30",8,36,29,41,5,5,8,5,15,12,5,35,8,35,28,42,5,5,8,5,5,12,15,35
"123","2014/03/04 07:45",6,24,24,45,5,6,8,6,19,12,6,38,5,24,23,46,5,5,9,6,6,12,19,39
"124","2014/03/04 08:00",6,18,24,37,7,7,9,7,22,13,7,46,7,18,23,37,7,7,9,7,7,13,22,45
"125","2014/03/04 08:15",7,16,25,45,6,7,10,7,20,18,7,46,7,16,25,45,6,6,10,7,7,18,21,46
"126","2014/03/04 08:30",5,15,24,39,6,6,8,6,18,14,6,36,6,15,23,39,6,6,8,6,6,13,19,36
"127","2014/03/04 08:45",7,16,26,41,8,8,10,8,27,14,8,39,8,16,26,41,8,8,10,8,8,14,28,39
"128","2014/03/04 09:00",6,15,23,36,6,7,9,7,26,12,6,35,6,15,22,36,7,7,9,7,7,12,26,35
"129","2014/03/04 09:15",9,13,31,49,5,5,9,6,16,16,6,33,9,14,31,49,5,5,9,6,5,15,17,34
"130","2014/03/04 09:30",5,7,26,41,7,6,9,6,29,13,4,32,5,8,26,42,6,6,9,7,5,13,29,33
"131","2014/03/04 09:45",10,18,29,39,10,10,13,11,34,16,7,36,11,18,28,40,10,11,13,11,8,16,35,36
"132","2014/03/04 10:00",7,18,29,53,7,7,10,7,23,12,7,33,7,17,28,53,7,7,10,7,7,13,23,34
"133","2014/03/04 10:15",5,16,28,43,6,6,9,7,19,15,6,32,5,16,27,44,6,6,9,7,6,14,20,32
"134","2014/03/04 10:30",3,7,22,54,4,3,6,4,10,10,4,28,4,8,21,56,3,3,7,4,3,10,10,27
"135","2014/03/04 10:45",4,9,22,46,4,4,7,5,15,11,4,26,4,9,20,48,4,4,7,5,4,11,15,26
"136","2014/03/04 11:00",5,10,21,50,4,4,7,5,16,10,5,26,5,10,20,53,4,4,7,5,5,10,16,26
"137","2014/03/04 11:15",6,16,23,53,6,6,9,7,20,14,6,26,6,16,22,54,6,6,9,7,6,14,20,26
"138","2014/03/04 11:30",7,16,23,56,7,7,9,7,22,12,7,25,7,16,22,58,7,7,9,7,7,12,23,25
"139","2014/03/04 11:45",7,10,23,55,7,7,10,7,22,13,7,26,7,10,22,57,6,6,9,7,7,12,23,26
"140","2014/03/04 12:00",3,12,19,39,3,3,6,3,9,9,3,22,3,12,19,40,3,3,6,3,3,8,9,21
"141","2014/03/04 12:15",3,7,24,40,3,3,6,4,10,13,3,24,3,7,23,41,3,3,6,4,3,13,10,24
"142","2014/03/04 12:30",4,6,22,50,3,3,6,4,11,10,3,19,4,6,20,51,3,3,6,4,3,10,11,18
"143","2014/03/04 12:45",4,7,22,50,3,4,6,4,11,10,3,17,4,7,20,51,4,3,6,4,3,10,12,17
"144","2014/03/04 13:00",3,8,21,25,4,3,6,4,11,9,3,15,3,7,20,26,3,3,6,4,3,9,11,15
"145","2014/03/04 13:15",3,8,22,4,4,4,7,5,12,12,4,16,3,8,21,5,4,4,7,4,4,11,13,16
"146","2014/03/04 13:30",2,7,22,3,3,3,6,3,10,9,3,15,3,7,20,4,3,3,6,4,4,9,10,15
"147","2014/03/04 13:45",3,8,21,4,3,3,6,4,11,9,4,19,3,9,20,4,3,3,6,4,4,9,12,19
"148","2014/03/04 14:00",3,8,22,3,4,3,6,4,11,9,4,22,3,8,21,4,3,3,6,4,4,9,11,22
"149","2014/03/04 14:15",4,9,28,4,4,4,7,5,12,26,4,22,3,9,27,5,4,4,7,5,4,26,12,22
"150","2014/03/04 14:30",4,9,31,4,3,4,7,4,12,24,4,18,4,9,30,4,4,4,7,4,4,24,12,18
"151","2014/03/04 14:45",4,13,30,5,5,5,8,5,18,13,6,19,5,14,29,6,5,5,8,6,6,13,17,19
"152","2014/03/04 15:00",4,12,29,5,5,4,7,5,15,10,5,20,4,11,28,5,5,5,7,5,5,10,15,20
"153","2014/03/04 15:15",5,13,27,5,5,5,8,6,16,17,5,20,5,13,26,6,5,5,8,6,5,17,16,20
"154","2014/03/04 15:30",4,12,24,5,5,4,7,5,15,11,5,19,4,12,23,6,5,5,7,5,5,11,15,19
"155","2014/03/04 15:45",4,12,19,5,5,5,7,5,16,10,5,20,5,12,17,5,4,5,7,5,5,10,16,20
"156","2014/03/04 16:00",4,11,24,4,4,4,7,5,14,12,5,20,4,11,23,5,4,4,7,5,5,12,14,19
"157","2014/03/04 16:15",3,12,18,5,4,4,7,5,13,15,5,20,4,12,17,6,4,4,7,5,5,14,13,20
"158","2014/03/04 16:30",4,13,15,4,4,4,7,4,13,11,4,22,4,14,14,5,4,4,6,5,4,11,13,22
"159","2014/03/04 16:45",4,17,17,11,4,4,7,5,14,12,5,26,4,17,16,12,4,5,7,5,5,13,14,26
"160","2014/03/04 17:00",3,16,15,4,4,4,7,4,13,10,4,24,4,16,14,5,4,4,7,4,5,10,13,24
"161","2014/03/04 17:15",8,29,20,8,9,8,11,9,25,17,8,24,8,29,19,9,8,8,11,9,8,17,25,24
"162","2014/03/04 17:30",9,32,23,10,10,10,12,10,33,16,10,22,9,32,22,10,10,10,12,10,10,16,33,22
"163","2014/03/04 17:45",6,18,19,7,6,6,9,7,21,12,7,22,6,18,18,8,6,6,9,6,7,12,21,22
"164","2014/03/04 18:00",4,11,17,5,5,4,7,5,15,12,5,21,5,11,15,6,4,5,7,5,5,12,15,21
"165","2014/03/04 18:15",3,8,16,5,4,4,8,4,12,17,4,20,3,9,15,6,4,4,8,4,4,17,12,20
"166","2014/03/04 18:30",3,8,15,4,4,4,7,4,11,16,4,19,3,8,14,4,4,4,7,4,4,16,11,19
"167","2014/03/04 18:45",4,12,16,25,4,4,7,5,15,15,5,22,4,12,15,26,5,5,7,5,5,15,15,21
"168","2014/03/04 19:00",3,11,15,5,4,4,7,4,14,13,5,21,4,11,13,6,4,4,7,5,5,13,14,22
"169","2014/03/04 19:15",5,13,16,6,5,5,8,6,16,17,5,21,5,13,15,6,5,5,8,6,5,16,16,21
"170","2014/03/04 19:30",5,12,16,21,4,4,7,5,14,14,4,20,5,12,15,22,4,4,7,5,4,14,14,20
"171","2014/03/04 19:45",4,13,18,48,5,5,7,5,15,14,5,30,5,12,17,48,5,5,7,5,5,14,14,30
"172","2014/03/04 20:00",4,10,17,6,4,5,7,5,14,13,4,30,4,10,16,7,5,4,7,5,4,14,14,29
"173","2014/03/04 20:15",4,11,17,6,4,5,7,5,13,16,4,21,4,12,16,7,4,4,7,5,5,17,13,21
"174","2014/03/04 20:30",4,12,17,5,5,5,7,5,14,14,5,20,4,11,17,6,4,5,7,5,5,14,14,20
"175","2014/03/04 20:45",4,11,17,5,5,4,7,5,15,15,5,20,4,11,16,6,5,4,7,5,5,15,15,20
"176","2014/03/04 21:00",5,12,17,51,5,4,7,5,13,14,4,20,5,11,16,51,4,4,7,5,5,13,13,20
"177","2014/03/04 21:15",6,12,19,49,4,4,7,5,13,16,4,22,6,12,17,50,4,4,7,5,5,16,13,23
"178","2014/03/04 21:30",4,10,16,13,4,4,6,5,13,11,4,24,4,11,15,14,4,3,7,5,4,11,13,24
"179","2014/03/04 21:45",5,12,17,22,4,4,7,5,14,11,4,27,5,12,16,22,4,4,7,5,5,11,14,26
"180","2014/03/04 22:00",4,10,15,19,3,4,6,4,13,11,4,27,4,10,14,20,3,3,7,4,4,11,13,27
"181","2014/03/04 22:15",3,7,15,36,3,3,6,4,10,13,4,24,3,7,14,36,3,3,6,4,4,14,10,23
"182","2014/03/04 22:30",3,6,15,12,2,3,6,3,9,10,3,21,3,6,14,12,3,2,6,3,3,10,9,21
"183","2014/03/04 22:45",3,6,14,9,2,2,5,3,9,10,3,24,3,7,14,9,3,3,5,3,3,11,10,24
"184","2014/03/04 23:00",7,12,17,40,2,2,5,3,8,8,3,24,7,12,16,40,2,2,5,3,3,8,8,24
"185","2014/03/04 23:15",5,18,17,28,3,3,7,5,13,14,4,26,5,19,16,28,3,3,7,5,4,14,13,27
"186","2014/03/04 23:30",3,12,15,7,3,3,7,4,12,9,4,28,4,12,14,7,3,3,7,4,4,10,12,28
"187","2014/03/04 23:45",5,14,16,7,4,5,8,6,19,11,5,30,4,15,15,7,4,4,8,5,5,11,20,30
"188","2014/03/05 00:00",7,15,18,13,6,6,10,7,26,13,7,32,6,15,16,13,6,7,9,7,7,12,26,32
"189","2014/03/05 00:15",8,24,42,14,8,7,17,9,31,21,8,38,8,24,41,15,8,8,18,8,9,21,31,38
"190","2014/03/05 00:30",8,23,32,9,7,7,17,8,31,15,8,36,8,23,31,9,7,7,17,8,8,15,32,36
"191","2014/03/05 00:45",9,17,28,10,9,9,13,10,38,16,9,32,9,18,26,10,8,8,13,10,9,16,39,32
"192","2014/03/05 01:00",8,16,29,14,9,8,12,9,38,16,9,32,9,16,28,14,9,9,12,10,9,16,39,33
"193","2014/03/05 01:15",8,15,27,9,8,8,11,9,35,17,9,33,8,15,25,10,8,8,12,9,9,17,35,33
"194","2014/03/05 01:30",9,15,27,15,9,8,11,10,35,23,9,34,9,15,26,16,9,9,12,9,9,22,36,34
"195","2014/03/05 01:45",8,13,26,22,8,8,11,9,32,18,9,34,8,13,25,22,8,8,11,9,8,18,32,35
"196","2014/03/05 02:00",9,26,26,18,8,8,11,9,33,15,9,34,9,26,25,18,8,8,11,9,9,14,34,34
"197","2014/03/05 02:15",8,21,24,26,7,7,11,8,29,17,8,33,8,21,23,27,7,7,10,9,8,17,29,32
"198","2014/03/05 02:30",7,13,25,26,7,7,10,8,28,14,7,28,7,13,23,27,7,7,10,8,8,14,29,28
"199","2014/03/05 02:45",7,16,24,11,7,7,10,9,30,15,8,29,7,17,23,12,7,7,10,8,8,15,30,29
"200","2014/03/05 03:00",6,11,22,13,7,6,10,7,27,13,7,32,6,11,21,14,6,6,10,7,7,13,28,33
"201","2014/03/05 03:15",7,11,41,38,6,6,10,8,26,17,7,33,7,12,40,39,7,7,10,8,7,17,27,33
"202","2014/03/05 03:30",7,12,47,41,6,7,10,8,26,14,8,35,7,11,45,43,6,6,10,7,7,14,27,35
"203","2014/03/05 03:45",7,11,44,50,7,7,10,8,27,13,7,36,7,11,43,52,7,7,10,8,7,13,27,35
"204","2014/03/05 04:00",8,13,43,48,8,8,11,9,30,14,8,32,8,13,42,48,8,8,10,9,8,14,30,32
"205","2014/03/05 04:15",8,11,48,50,8,8,11,8,28,22,7,31,8,11,46,51,8,8,11,9,7,22,28,31
"206","2014/03/05 04:30",7,11,42,51,7,7,9,8,27,15,7,22,7,11,41,51,7,6,9,7,7,14,27,22
"207","2014/03/05 04:45",9,12,44,53,7,8,10,8,30,15,7,23,10,12,43,53,7,8,11,8,8,15,31,23
"208","2014/03/05 05:00",9,12,41,51,7,7,10,8,29,14,7,24,8,12,39,52,7,7,10,8,7,13,29,24
"209","2014/03/05 05:15",7,18,37,53,6,6,10,8,25,16,7,21,8,19,36,53,6,6,9,7,7,15,25,22
"210","2014/03/05 05:30",10,26,27,53,9,9,12,10,37,18,10,24,10,26,26,54,9,9,12,10,10,18,37,23
"211","2014/03/05 05:45",8,27,25,50,8,7,10,8,29,14,8,21,8,27,24,51,8,8,10,8,8,14,29,21
"212","2014/03/05 06:00",9,28,23,58,8,8,10,8,32,14,8,21,8,29,22,59,8,8,11,9,9,14,32,21
"213","2014/03/05 06:15",12,35,31,63,9,9,13,10,34,19,9,22,12,36,30,63,9,9,13,10,9,18,34,21
"214","2014/03/05 06:30",16,47,35,62,13,13,16,14,51,22,13,23,16,47,34,62,13,13,16,13,13,22,51,22
"215","2014/03/05 06:45",19,52,48,59,14,14,18,15,62,24,15,23,20,52,47,60,16,15,18,16,15,24,62,23
"216","2014/03/05 07:00",14,42,37,64,13,13,16,14,55,20,13,25,14,41,36,67,13,13,16,14,12,19,55,24
